"('latency', 'compare', 'full', 'level', 'clock', 'precision', 'application', 'example application', 'example')","[['compare', 'latency', 'application', 'full'], ['compare', 'latency', 'level'], ['compare', 'latency', 'precision'], ['compare', 'latency', 'application', 'clock', 'example', 'example application'], ['full', 'application', 'latency', 'level'], ['full', 'application', 'latency', 'precision'], ['full', 'application', 'clock', 'example', 'example application'], ['level', 'latency', 'precision'], ['level', 'latency', 'application', 'clock', 'example', 'example application'], ['precision', 'latency', 'application', 'clock', 'example', 'example application']]"
"('site license option', 'digital core design', 'license option', 'single site license')","[['digital core design', 'license option', 'site license option', 'single site license']]"
"('core instantiation', 'license')","[['core instantiation', 'license']]"
"('ip core implementation', 'core implementation support', 'core implementation')","[['ip core implementation', 'core implementation', 'core implementation support']]"
"('real', 'arguments', 'cycle')","[['real', 'cycle', 'arguments']]"
"('instantiation', 'company', 'multi', 'option')","[['instantiation', 'multi', 'company', 'option']]"
"('control', 'interface', 'data', 'two', 'standard')","[['control', 'data', 'interface'], ['control', 'data', 'two', 'standard'], ['interface', 'data', 'two', 'standard']]"
"('headquarters',)",[['headquarters']]
"('programming',)",[['programming']]
"('single precision real', 'precision real')","[['single precision real', 'precision real']]"
"('pipelined', 'numbers')","[['pipelined', 'numbers']]"
