"('sacrificing', 'accuracy')","[['sacrificing', 'accuracy']]"
"('maxwell', 'maxwell building', 'east kilbride', 'park maxwell building', 'technology park maxwell', 'scotland', 'smart card', 'enterprise technology', 'smart card ics', 'smart', 'enterprise technology park', 'park', 'maxwell building east', 'park maxwell', 'card', 'scotland tel', 'east kilbride g75', 'kilbride', 'atmel smart card', 'g75', 'technology park', 'enterprise', 'kilbride g75', 'atmel smart')","[['maxwell building', 'smart', 'east kilbride'], ['maxwell building', 'smart', 'scotland tel', 'technology park maxwell'], ['maxwell building', 'smart', 'scotland tel', 'scotland'], ['maxwell building', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell', 'smart card'], ['maxwell building', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell', 'enterprise technology'], ['maxwell building', 'smart', 'scotland tel', 'smart card ics'], ['maxwell building', 'smart', 'scotland tel', 'enterprise technology park'], ['maxwell building', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell building east'], ['maxwell building', 'smart', 'park maxwell'], ['maxwell building', 'smart', 'park', 'card'], ['maxwell building', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'kilbride'], ['maxwell building', 'smart', 'scotland tel', 'atmel smart card'], ['maxwell building', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'g75'], ['maxwell building', 'smart', 'technology park'], ['maxwell building', 'smart', 'scotland tel', 'enterprise'], ['maxwell building', 'smart', 'kilbride g75'], ['east kilbride', 'smart', 'scotland tel', 'technology park maxwell'], ['east kilbride', 'smart', 'scotland tel', 'scotland'], ['east kilbride', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell', 'smart card'], ['east kilbride', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell', 'enterprise technology'], ['east kilbride', 'smart', 'scotland tel', 'smart card ics'], ['east kilbride', 'smart', 'scotland tel', 'enterprise technology park'], ['east kilbride', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell building east'], ['east kilbride', 'smart', 'park maxwell'], ['east kilbride', 'smart', 'park', 'card'], ['east kilbride', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'kilbride'], ['east kilbride', 'smart', 'scotland tel', 'atmel smart card'], ['east kilbride', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'g75'], ['east kilbride', 'smart', 'technology park'], ['east kilbride', 'smart', 'scotland tel', 'enterprise'], ['east kilbride', 'smart', 'kilbride g75'], ['technology park maxwell', 'scotland tel', 'scotland'], ['technology park maxwell', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell', 'smart card'], ['technology park maxwell', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell', 'enterprise technology'], ['technology park maxwell', 'scotland tel', 'smart card ics'], ['technology park maxwell', 'scotland tel', 'enterprise technology park'], ['technology park maxwell', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell building east'], ['technology park maxwell', 'scotland tel', 'smart', 'park maxwell'], ['technology park maxwell', 'scotland tel', 'smart', 'park', 'card'], ['technology park maxwell', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'kilbride'], ['technology park maxwell', 'scotland tel', 'atmel smart card'], ['technology park maxwell', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'g75'], ['technology park maxwell', 'scotland tel', 'smart', 'technology park'], ['technology park maxwell', 'scotland tel', 'enterprise'], ['technology park maxwell', 'scotland tel', 'smart', 'kilbride g75'], ['scotland', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell', 'smart card'], ['scotland', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell', 'enterprise technology'], ['scotland', 'scotland tel', 'smart card ics'], ['scotland', 'scotland tel', 'enterprise technology park'], ['scotland', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell building east'], ['scotland', 'scotland tel', 'smart', 'park maxwell'], ['scotland', 'scotland tel', 'smart', 'park', 'card'], ['scotland', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'kilbride'], ['scotland', 'scotland tel', 'atmel smart card'], ['scotland', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'g75'], ['scotland', 'scotland tel', 'smart', 'technology park'], ['scotland', 'scotland tel', 'enterprise'], ['scotland', 'scotland tel', 'smart', 'kilbride g75'], ['smart card', 'maxwell', 'enterprise technology'], ['smart card', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart card ics'], ['smart card', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'enterprise technology park'], ['smart card', 'maxwell', 'atmel smart', 'maxwell building east'], ['smart card', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'park maxwell'], ['smart card', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'park', 'card'], ['smart card', 'maxwell', 'atmel smart', 'east kilbride g75', 'kilbride'], ['smart card', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'atmel smart card'], ['smart card', 'maxwell', 'atmel smart', 'east kilbride g75', 'g75'], ['smart card', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'technology park'], ['smart card', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'enterprise'], ['smart card', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'kilbride g75'], ['enterprise technology', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart card ics'], ['enterprise technology', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'enterprise technology park'], ['enterprise technology', 'maxwell', 'atmel smart', 'maxwell building east'], ['enterprise technology', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'park maxwell'], ['enterprise technology', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'park', 'card'], ['enterprise technology', 'maxwell', 'atmel smart', 'east kilbride g75', 'kilbride'], ['enterprise technology', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'atmel smart card'], ['enterprise technology', 'maxwell', 'atmel smart', 'east kilbride g75', 'g75'], ['enterprise technology', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'technology park'], ['enterprise technology', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'enterprise'], ['enterprise technology', 'maxwell', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'kilbride g75'], ['smart card ics', 'scotland tel', 'enterprise technology park'], ['smart card ics', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell building east'], ['smart card ics', 'scotland tel', 'smart', 'park maxwell'], ['smart card ics', 'scotland tel', 'smart', 'park', 'card'], ['smart card ics', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'kilbride'], ['smart card ics', 'scotland tel', 'atmel smart card'], ['smart card ics', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'g75'], ['smart card ics', 'scotland tel', 'smart', 'technology park'], ['smart card ics', 'scotland tel', 'enterprise'], ['smart card ics', 'scotland tel', 'smart', 'kilbride g75'], ['enterprise technology park', 'scotland tel', 'park maxwell building', 'atmel smart', 'maxwell building east'], ['enterprise technology park', 'scotland tel', 'smart', 'park maxwell'], ['enterprise technology park', 'scotland tel', 'smart', 'park', 'card'], ['enterprise technology park', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'kilbride'], ['enterprise technology park', 'scotland tel', 'atmel smart card'], ['enterprise technology park', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'g75'], ['enterprise technology park', 'scotland tel', 'smart', 'technology park'], ['enterprise technology park', 'scotland tel', 'enterprise'], ['enterprise technology park', 'scotland tel', 'smart', 'kilbride g75'], ['maxwell building east', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'park maxwell'], ['maxwell building east', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'park', 'card'], ['maxwell building east', 'atmel smart', 'east kilbride g75', 'kilbride'], ['maxwell building east', 'atmel smart', 'park maxwell building', 'scotland tel', 'atmel smart card'], ['maxwell building east', 'atmel smart', 'east kilbride g75', 'g75'], ['maxwell building east', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'technology park'], ['maxwell building east', 'atmel smart', 'park maxwell building', 'scotland tel', 'enterprise'], ['maxwell building east', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'kilbride g75'], ['park maxwell', 'smart', 'park', 'card'], ['park maxwell', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'kilbride'], ['park maxwell', 'smart', 'scotland tel', 'atmel smart card'], ['park maxwell', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'g75'], ['park maxwell', 'smart', 'technology park'], ['park maxwell', 'smart', 'scotland tel', 'enterprise'], ['park maxwell', 'smart', 'kilbride g75'], ['card', 'park', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'kilbride'], ['card', 'park', 'smart', 'scotland tel', 'atmel smart card'], ['card', 'park', 'smart', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'g75'], ['card', 'park', 'smart', 'technology park'], ['card', 'park', 'smart', 'scotland tel', 'enterprise'], ['card', 'park', 'smart', 'kilbride g75'], ['kilbride', 'east kilbride g75', 'atmel smart', 'park maxwell building', 'scotland tel', 'atmel smart card'], ['kilbride', 'east kilbride g75', 'g75'], ['kilbride', 'east kilbride g75', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'technology park'], ['kilbride', 'east kilbride g75', 'atmel smart', 'park maxwell building', 'scotland tel', 'enterprise'], ['kilbride', 'east kilbride g75', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'kilbride g75'], ['atmel smart card', 'scotland tel', 'park maxwell building', 'atmel smart', 'east kilbride g75', 'g75'], ['atmel smart card', 'scotland tel', 'smart', 'technology park'], ['atmel smart card', 'scotland tel', 'enterprise'], ['atmel smart card', 'scotland tel', 'smart', 'kilbride g75'], ['g75', 'east kilbride g75', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'technology park'], ['g75', 'east kilbride g75', 'atmel smart', 'park maxwell building', 'scotland tel', 'enterprise'], ['g75', 'east kilbride g75', 'atmel smart', 'park maxwell building', 'scotland tel', 'smart', 'kilbride g75'], ['technology park', 'smart', 'scotland tel', 'enterprise'], ['technology park', 'smart', 'kilbride g75'], ['enterprise', 'scotland tel', 'smart', 'kilbride g75']]"
"('conditional test',)",[['conditional test']]
"('internal power', 'characteristics', 'minimum and/or', 'pint =icc', '+pi/o pint', 'maximum limits,')","[['characteristics', 'maximum limits,', 'internal power', 'minimum and/or'], ['characteristics', 'maximum limits,', 'internal power', 'pint =icc'], ['characteristics', 'maximum limits,', 'internal power', '+pi/o pint'], ['minimum and/or', 'internal power', 'pint =icc'], ['minimum and/or', 'internal power', '+pi/o pint'], ['pint =icc', 'internal power', '+pi/o pint']]"
"('completion', 'sales', 'asserts', 'versions')","[['completion', 'sales', 'asserts', 'versions']]"
"('interface protocol', 'user software')","[['interface protocol', 'user software']]"
"('assertion', 'office', 'availability')","[['assertion', 'office', 'availability']]"
"('germany tel', 'heilbronn theresienstrasse', 'atmel heilbronn theresienstrasse', 'atmel heilbronn')","[['germany tel', 'atmel heilbronn theresienstrasse', 'heilbronn theresienstrasse'], ['germany tel', 'atmel heilbronn theresienstrasse', 'atmel heilbronn'], ['heilbronn theresienstrasse', 'atmel heilbronn theresienstrasse', 'atmel heilbronn']]"
"('advance', 'acknowledge', 'japd', 'fortran', 'non-dma', 'placed')","[['advance', 'acknowledge', 'fortran', 'japd'], ['advance', 'acknowledge', 'fortran', 'non-dma'], ['advance', 'acknowledge', 'placed'], ['japd', 'fortran', 'non-dma'], ['japd', 'fortran', 'acknowledge', 'placed'], ['non-dma', 'fortran', 'acknowledge', 'placed']]"
"('management', 'arbitration function', 'request', 'memory management,', 'bus errors,', 'address errors,', 'bus arbitration')","[['management', 'arbitration function', 'request', 'memory management,'], ['management', 'arbitration function', 'request', 'bus errors,'], ['management', 'arbitration function', 'request', 'address errors,'], ['management', 'arbitration function', 'request', 'bus arbitration'], ['memory management,', 'request', 'bus errors,'], ['memory management,', 'request', 'address errors,'], ['memory management,', 'request', 'bus arbitration'], ['bus errors,', 'request', 'address errors,'], ['bus errors,', 'request', 'bus arbitration'], ['address errors,', 'request', 'bus arbitration']]"
"('-5', 'function code', 'co-processor instruction', 'ts68020/ts68030 whenever', 'd16 -d31', 'bcd string', 'space function', 'fscc set', 'function code,', 'type co-processor', 'upper address', 'optimum', 'fscc set byte according', 'optimum performance,', 'set byte', 'register selection', 'non-dma type', 'performance', 'byte according', 'fpn or,')","[['-5', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'fscc set', 'co-processor instruction'], ['-5', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'fscc set', 'space function'], ['-5', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'type co-processor'], ['-5', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'fscc set', 'function code', 'upper address'], ['-5', 'ts68020/ts68030 whenever', 'optimum'], ['-5', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'fscc set', 'fscc set byte according'], ['-5', 'ts68020/ts68030 whenever', 'd16 -d31', 'optimum performance,'], ['-5', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'set byte'], ['-5', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'non-dma type'], ['-5', 'ts68020/ts68030 whenever', 'performance'], ['-5', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'byte according'], ['co-processor instruction', 'fscc set', 'space function'], ['co-processor instruction', 'fscc set', 'function code,', 'register selection', 'bcd string', 'type co-processor'], ['co-processor instruction', 'fscc set', 'function code', 'upper address'], ['co-processor instruction', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'optimum'], ['co-processor instruction', 'fscc set', 'fscc set byte according'], ['co-processor instruction', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'd16 -d31', 'optimum performance,'], ['co-processor instruction', 'fscc set', 'function code,', 'set byte'], ['co-processor instruction', 'fscc set', 'function code,', 'register selection', 'bcd string', 'non-dma type'], ['co-processor instruction', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'performance'], ['co-processor instruction', 'fscc set', 'function code,', 'byte according'], ['space function', 'fscc set', 'function code,', 'register selection', 'bcd string', 'type co-processor'], ['space function', 'fscc set', 'function code', 'upper address'], ['space function', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'optimum'], ['space function', 'fscc set', 'fscc set byte according'], ['space function', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'd16 -d31', 'optimum performance,'], ['space function', 'fscc set', 'function code,', 'set byte'], ['space function', 'fscc set', 'function code,', 'register selection', 'bcd string', 'non-dma type'], ['space function', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'performance'], ['space function', 'fscc set', 'function code,', 'byte according'], ['type co-processor', 'bcd string', 'register selection', 'function code,', 'fscc set', 'function code', 'upper address'], ['type co-processor', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'optimum'], ['type co-processor', 'bcd string', 'register selection', 'function code,', 'fscc set', 'fscc set byte according'], ['type co-processor', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'd16 -d31', 'optimum performance,'], ['type co-processor', 'bcd string', 'register selection', 'function code,', 'set byte'], ['type co-processor', 'bcd string', 'non-dma type'], ['type co-processor', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'performance'], ['type co-processor', 'bcd string', 'register selection', 'function code,', 'byte according'], ['upper address', 'function code', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'optimum'], ['upper address', 'function code', 'fscc set', 'fscc set byte according'], ['upper address', 'function code', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'd16 -d31', 'optimum performance,'], ['upper address', 'function code', 'fscc set', 'function code,', 'set byte'], ['upper address', 'function code', 'fscc set', 'function code,', 'register selection', 'bcd string', 'non-dma type'], ['upper address', 'function code', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'performance'], ['upper address', 'function code', 'fscc set', 'function code,', 'byte according'], ['optimum', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'fscc set', 'fscc set byte according'], ['optimum', 'ts68020/ts68030 whenever', 'd16 -d31', 'optimum performance,'], ['optimum', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'set byte'], ['optimum', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'non-dma type'], ['optimum', 'ts68020/ts68030 whenever', 'performance'], ['optimum', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'byte according'], ['fscc set byte according', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'd16 -d31', 'optimum performance,'], ['fscc set byte according', 'fscc set', 'function code,', 'set byte'], ['fscc set byte according', 'fscc set', 'function code,', 'register selection', 'bcd string', 'non-dma type'], ['fscc set byte according', 'fscc set', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'performance'], ['fscc set byte according', 'fscc set', 'function code,', 'byte according'], ['optimum performance,', 'd16 -d31', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'set byte'], ['optimum performance,', 'd16 -d31', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'non-dma type'], ['optimum performance,', 'd16 -d31', 'ts68020/ts68030 whenever', 'performance'], ['optimum performance,', 'd16 -d31', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'byte according'], ['set byte', 'function code,', 'register selection', 'bcd string', 'non-dma type'], ['set byte', 'function code,', 'register selection', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'performance'], ['set byte', 'function code,', 'byte according'], ['non-dma type', 'bcd string', 'fpn or,', 'ts68020/ts68030 whenever', 'performance'], ['non-dma type', 'bcd string', 'register selection', 'function code,', 'byte according'], ['performance', 'ts68020/ts68030 whenever', 'fpn or,', 'bcd string', 'register selection', 'function code,', 'byte according']]"
"('ts68000 co-processor', 'ts68000 co-processor interface', 'approximate relationship', 'approximate')","[['ts68000 co-processor interface', 'ts68000 co-processor', 'approximate relationship'], ['ts68000 co-processor interface', 'ts68000 co-processor', 'approximate'], ['approximate relationship', 'ts68000 co-processor', 'approximate']]"
"('input capacitance',)",[['input capacitance']]
"('programmers', 'overlapped')","[['programmers', 'overlapped']]"
"('ordered less',)",[['ordered less']]
"('load', '13', 'hereafter')","[['load', 'hereafter', '13']]"
"('ac electrical',)",[['ac electrical']]
"('given', 'purpose')","[['given', 'purpose']]"
"('obtained',)",[['obtained']]
"('provided', 'calculated', 'modes')","[['calculated', 'provided', 'modes']]"
"('576-3300',)",[['576-3300']]
"('range tc',)",[['range tc']]
"('bsun bit', 'status register', 'an5i y14')","[['bsun bit', 'status register', 'an5i y14']]"
"('bus masters,', 'bus master', 'ts68020/ts68030 fetch')","[['bus masters,', 'bus master', 'ts68020/ts68030 fetch']]"
"('pipes', 'details', 'caches')","[['pipes', 'caches', 'details']]"
"('atmel corporation',)",[['atmel corporation']]
"('fsave', 'tc', 'ts68882mf33')","[['fsave', 'tc', 'ts68882mf33']]"
"('detection', 'taken', 'serviced')","[['detection', 'serviced', 'taken']]"
"('fp5', 'co-processor', 'pi/o')","[['co-processor', 'fp5', 'pi/o']]"
"('good', 'minimized', 'approximately', 'significantly')","[['minimized', 'significantly', 'good', 'approximately']]"
"('regardless', 'instruction information,', 'status information,', 'constant', 'known ta.using', 'operand data,', 'equilibrium')","[['regardless', 'status information,', 'constant', 'instruction information,'], ['regardless', 'status information,', 'constant', 'known ta.using'], ['regardless', 'status information,', 'constant', 'operand data,'], ['regardless', 'status information,', 'equilibrium'], ['instruction information,', 'constant', 'known ta.using'], ['instruction information,', 'constant', 'operand data,'], ['instruction information,', 'constant', 'status information,', 'equilibrium'], ['known ta.using', 'constant', 'operand data,'], ['known ta.using', 'constant', 'status information,', 'equilibrium'], ['operand data,', 'constant', 'status information,', 'equilibrium']]"
"('44306', '2-40-18-19-60', '4-42-53-60-01', '4-42-53-60-00', '2-40-18-18-18', 'atmel rousset zone industrielle', 'atmel nantes la chantrerie', '70602', '13106')","[['44306', '2-40-18-19-60', '4-42-53-60-01', '4-42-53-60-00', '2-40-18-18-18', 'atmel rousset zone industrielle', 'atmel nantes la chantrerie', '70602', '13106']]"
"('thecpu andcoprocessor', 'co-processorco-processor interface', 'ts68020/ts68030 instructions,', 'command word')","[['co-processorco-processor interface', 'thecpu andcoprocessor', 'ts68020/ts68030 instructions,'], ['co-processorco-processor interface', 'thecpu andcoprocessor', 'command word'], ['ts68020/ts68030 instructions,', 'thecpu andcoprocessor', 'command word']]"
"('bus', 'outside', 'flow', 'address')","[['bus', 'outside', 'address', 'flow']]"
"('semiconductor junction', 'ca', 'input signal', 'standard')","[['semiconductor junction', 'ca', 'input signal'], ['semiconductor junction', 'ca', 'standard'], ['input signal', 'ca', 'standard']]"
"('positional tolerance', 'data bus size', 'bus size', 'size configuration', 'bus size configuration', 'state save', 'system performance', 'virtual machine state', 'data bus size configuration', 'virtual machine state save')","[['bus size', 'positional tolerance', 'bus size configuration'], ['bus size', 'positional tolerance', 'size configuration', 'data bus size', 'virtual machine state'], ['bus size', 'positional tolerance', 'state save', 'system performance', 'data bus size configuration'], ['bus size', 'positional tolerance', 'state save', 'system performance', 'virtual machine state save'], ['bus size configuration', 'positional tolerance', 'size configuration', 'data bus size', 'virtual machine state'], ['bus size configuration', 'positional tolerance', 'state save', 'system performance', 'data bus size configuration'], ['bus size configuration', 'positional tolerance', 'state save', 'system performance', 'virtual machine state save'], ['virtual machine state', 'data bus size', 'size configuration', 'positional tolerance', 'state save', 'system performance', 'data bus size configuration'], ['virtual machine state', 'data bus size', 'size configuration', 'positional tolerance', 'state save', 'system performance', 'virtual machine state save'], ['data bus size configuration', 'system performance', 'virtual machine state save']]"
"('virtual machine', 'decode co-processor', 'duplicate main', 'state restore', 'ts68020/ts68030 designs,', 'virtual machine state restore', 'address evaluation')","[['decode co-processor', 'state restore', 'duplicate main'], ['decode co-processor', 'state restore', 'ts68020/ts68030 designs,'], ['decode co-processor', 'state restore', 'virtual machine', 'virtual machine state restore'], ['decode co-processor', 'state restore', 'address evaluation'], ['duplicate main', 'state restore', 'ts68020/ts68030 designs,'], ['duplicate main', 'state restore', 'virtual machine', 'virtual machine state restore'], ['duplicate main', 'state restore', 'address evaluation'], ['ts68020/ts68030 designs,', 'state restore', 'virtual machine', 'virtual machine state restore'], ['ts68020/ts68030 designs,', 'state restore', 'address evaluation'], ['virtual machine state restore', 'virtual machine', 'state restore', 'address evaluation']]"
"('enhances', 'throughput', 'maintaining')","[['enhances', 'maintaining', 'throughput']]"
"('fits', '748-2', 'precision real', '96')","[['fits', 'precision real', '748-2'], ['fits', 'precision real', '96'], ['748-2', 'precision real', '96']]"
"('port',)",[['port']]
"('33', 'rochepleine bp', 'rochepleine', 'atmel grenoble avenue', 'avenue', 'atmel grenoble')","[['rochepleine', 'rochepleine bp', 'avenue', 'atmel grenoble', '33', 'atmel grenoble avenue']]"
"('ts68882 fmove.x fpm.fpn', 'manner', 'language')","[['manner', 'ts68882 fmove.x fpm.fpn', 'language']]"
"('indicates', 'address bus,')","[['indicates', 'address bus,']]"
"('europe', 'memory')","[['europe', 'memory']]"
"('ordered greater', 'ordered greater than')","[['ordered greater', 'ordered greater than']]"
"('provide', 'based', 'fundamental')","[['provide', 'based', 'fundamental']]"
"('fax', 'cedex')","[['fax', 'cedex']]"
"('language compiler', 'ts68020 /ts68030', 'program', 'pd =k:', 'ts68882 fmove.x')","[['ts68020 /ts68030', 'language compiler', 'pd =k:', 'program'], ['ts68020 /ts68030', 'language compiler', 'ts68882 fmove.x'], ['program', 'pd =k:', 'language compiler', 'ts68882 fmove.x']]"
"('warranty', 'atmel products,', 'company', 'life support')","[['atmel products,', 'warranty', 'company'], ['atmel products,', 'warranty', 'life support'], ['company', 'warranty', 'life support']]"
"('inputs', 'applications')","[['inputs', 'applications']]"
"('thermal', 'convection')","[['thermal', 'convection']]"
"('registered',)",[['registered']]
"('requirements', 'microcircuits', 'environmental', 'either', 'mechanical', 'meet')","[['microcircuits', 'requirements', 'meet', 'either', 'environmental', 'mechanical']]"
"('uses', 'features', 'contents', 'point')","[['uses', 'features', 'point', 'contents']]"
"('identifier', 'esd', 'esd identifier')","[['identifier', 'esd identifier', 'esd']]"
"('ts68000 family co-processor',)",[['ts68000 family co-processor']]
"('available',)",[['available']]
"('atmel nantes', 'zone', 'la', 'la chantrerie bp', 'la chantrerie', 'chantrerie bp', 'atmel rousset', 'atmel nantes la', 'atmel rousset zone', 'rousset zone industrielle', 'rousset cedex,', 'rousset zone')","[['la chantrerie bp', 'rousset cedex,', 'rousset zone industrielle']]"
"('enables', 'ts68882 co-processor interface')","[['enables', 'ts68882 co-processor interface']]"
"('datacom', 'speed converters/rf datacom', 'speed converters/rf', 'biometrics/imaging/hi-rel mpu/', 'mpu/', 'speed')","[['datacom', 'speed converters/rf datacom', 'mpu/'], ['datacom', 'speed converters/rf datacom', 'biometrics/imaging/hi-rel mpu/', 'speed converters/rf', 'speed'], ['mpu/', 'speed converters/rf datacom', 'biometrics/imaging/hi-rel mpu/', 'speed converters/rf', 'speed']]"
"('base', 'method', 'strings')","[['base', 'strings', 'method']]"
"('information', 'microcircuit')","[['information', 'microcircuit']]"
"('dissipation', '-user', 'data format', 'format summary')","[['dissipation', '-user', 'format summary', 'data format']]"
"('following', 'ts68000 family addressing', 'serves', 'particular')","[['following', 'particular', 'ts68000 family addressing', 'serves']]"
"('programmer', 'fpn', 'execution model', 'fp3')","[['programmer', 'fpn', 'execution model'], ['programmer', 'fpn', 'fp3'], ['execution model', 'fpn', 'fp3']]"
"('real', 'tables', 'sign bit', 'methods', 'separate', 'long', 'existing', 'automatically')","[['tables', 'automatically', 'sign bit'], ['tables', 'automatically', 'methods'], ['tables', 'automatically', 'existing', 'real', 'separate', 'long'], ['sign bit', 'automatically', 'methods'], ['sign bit', 'automatically', 'existing', 'real', 'separate', 'long'], ['methods', 'automatically', 'existing', 'real', 'separate', 'long']]"
"('measuring', 'described', 'transcendental', 'value')","[['measuring', 'described', 'value', 'transcendental']]"
"('separated', 'depending', 'two', 'specifically', 'total', 'representing')","[['two', 'separated', 'depending', 'specifically'], ['two', 'separated', 'depending', 'representing', 'total'], ['specifically', 'depending', 'representing', 'total']]"
"('digits', 'subset', 'decimal', 'right', 'type')","[['subset', 'type', 'digits', 'decimal', 'right']]"
"('dynamic', 'string', 'words')","[['dynamic', 'words', 'string']]"
"('downloaded',)",[['downloaded']]
"('heat', 'temperature')","[['heat', 'temperature']]"
