"('full', 'full accuracy', 'accuracy')","[['full accuracy', 'full', 'accuracy']]"
"('responses', 'single precision real', 'convert', 'converter', 'features', 'embedded', 'latency', 'simple', 'example application', 'example', 'application', 'verilog', 'numbers', 'fees', 'comprehensible', 'input', 'clock cycle', 'automatic', 'clearly', 'licensing')","[['responses', 'example', 'application', 'clock cycle', 'licensing', 'features', 'simple', 'verilog', 'single precision real'], ['responses', 'example', 'application', 'clock cycle', 'convert'], ['responses', 'example', 'application', 'clock cycle', 'converter'], ['responses', 'example', 'application', 'clock cycle', 'input', 'embedded'], ['responses', 'example', 'application', 'clock cycle', 'latency'], ['responses', 'example', 'example application'], ['responses', 'example', 'application', 'clock cycle', 'numbers'], ['responses', 'example', 'application', 'clock cycle', 'licensing', 'features', 'simple', 'fees'], ['responses', 'example', 'application', 'clock cycle', 'licensing', 'features', 'simple', 'comprehensible'], ['responses', 'example', 'application', 'clock cycle', 'licensing', 'features', 'simple', 'automatic'], ['responses', 'example', 'application', 'clock cycle', 'licensing', 'features', 'simple', 'clearly'], ['single precision real', 'verilog', 'simple', 'features', 'licensing', 'clock cycle', 'convert'], ['single precision real', 'verilog', 'simple', 'features', 'licensing', 'clock cycle', 'converter'], ['single precision real', 'verilog', 'simple', 'features', 'licensing', 'clock cycle', 'input', 'embedded'], ['single precision real', 'verilog', 'simple', 'features', 'licensing', 'clock cycle', 'latency'], ['single precision real', 'verilog', 'simple', 'features', 'licensing', 'clock cycle', 'application', 'example', 'example application'], ['single precision real', 'verilog', 'simple', 'features', 'licensing', 'clock cycle', 'numbers'], ['single precision real', 'verilog', 'simple', 'fees'], ['single precision real', 'verilog', 'simple', 'comprehensible'], ['single precision real', 'verilog', 'simple', 'automatic'], ['single precision real', 'verilog', 'simple', 'clearly'], ['convert', 'clock cycle', 'converter'], ['convert', 'clock cycle', 'input', 'embedded'], ['convert', 'clock cycle', 'latency'], ['convert', 'clock cycle', 'application', 'example', 'example application'], ['convert', 'clock cycle', 'numbers'], ['convert', 'clock cycle', 'licensing', 'features', 'simple', 'fees'], ['convert', 'clock cycle', 'licensing', 'features', 'simple', 'comprehensible'], ['convert', 'clock cycle', 'licensing', 'features', 'simple', 'automatic'], ['convert', 'clock cycle', 'licensing', 'features', 'simple', 'clearly'], ['converter', 'clock cycle', 'input', 'embedded'], ['converter', 'clock cycle', 'latency'], ['converter', 'clock cycle', 'application', 'example', 'example application'], ['converter', 'clock cycle', 'numbers'], ['converter', 'clock cycle', 'licensing', 'features', 'simple', 'fees'], ['converter', 'clock cycle', 'licensing', 'features', 'simple', 'comprehensible'], ['converter', 'clock cycle', 'licensing', 'features', 'simple', 'automatic'], ['converter', 'clock cycle', 'licensing', 'features', 'simple', 'clearly'], ['embedded', 'input', 'clock cycle', 'latency'], ['embedded', 'input', 'clock cycle', 'application', 'example', 'example application'], ['embedded', 'input', 'clock cycle', 'numbers'], ['embedded', 'input', 'clock cycle', 'licensing', 'features', 'simple', 'fees'], ['embedded', 'input', 'clock cycle', 'licensing', 'features', 'simple', 'comprehensible'], ['embedded', 'input', 'clock cycle', 'licensing', 'features', 'simple', 'automatic'], ['embedded', 'input', 'clock cycle', 'licensing', 'features', 'simple', 'clearly'], ['latency', 'clock cycle', 'application', 'example', 'example application'], ['latency', 'clock cycle', 'numbers'], ['latency', 'clock cycle', 'licensing', 'features', 'simple', 'fees'], ['latency', 'clock cycle', 'licensing', 'features', 'simple', 'comprehensible'], ['latency', 'clock cycle', 'licensing', 'features', 'simple', 'automatic'], ['latency', 'clock cycle', 'licensing', 'features', 'simple', 'clearly'], ['example application', 'example', 'application', 'clock cycle', 'numbers'], ['example application', 'example', 'application', 'clock cycle', 'licensing', 'features', 'simple', 'fees'], ['example application', 'example', 'application', 'clock cycle', 'licensing', 'features', 'simple', 'comprehensible'], ['example application', 'example', 'application', 'clock cycle', 'licensing', 'features', 'simple', 'automatic'], ['example application', 'example', 'application', 'clock cycle', 'licensing', 'features', 'simple', 'clearly'], ['numbers', 'clock cycle', 'licensing', 'features', 'simple', 'fees'], ['numbers', 'clock cycle', 'licensing', 'features', 'simple', 'comprehensible'], ['numbers', 'clock cycle', 'licensing', 'features', 'simple', 'automatic'], ['numbers', 'clock cycle', 'licensing', 'features', 'simple', 'clearly'], ['fees', 'simple', 'comprehensible'], ['fees', 'simple', 'automatic'], ['fees', 'simple', 'clearly'], ['comprehensible', 'simple', 'automatic'], ['comprehensible', 'simple', 'clearly'], ['automatic', 'simple', 'clearly']]"
"('-6',)",[['-6']]
"('implementation support', 'implementation', 'support', 'core implementation', 'ip core implementation', 'core implementation support')","[['implementation support', 'support', 'implementation', 'core implementation'], ['implementation support', 'support', 'implementation', 'ip core implementation'], ['implementation support', 'support', 'implementation', 'core implementation support'], ['core implementation', 'implementation', 'ip core implementation'], ['core implementation', 'implementation', 'core implementation support'], ['ip core implementation', 'implementation', 'core implementation support']]"
"('symbol', 'key features', 'key')","[['symbol', 'key', 'key features']]"
"('restrictions', 'branches', 'unlimited', 'number', 'running', 'corporate')","[['restrictions', 'unlimited', 'branches'], ['restrictions', 'unlimited', 'number'], ['restrictions', 'unlimited', 'running'], ['restrictions', 'unlimited', 'corporate'], ['branches', 'unlimited', 'number'], ['branches', 'unlimited', 'running'], ['branches', 'unlimited', 'corporate'], ['number', 'unlimited', 'running'], ['number', 'unlimited', 'corporate'], ['running', 'unlimited', 'corporate']]"
"('ieee-754', 'full precision', 'convert operation', 'point converter', 'dint2fp', 'precision real')","[['full precision', 'point converter', 'convert operation', 'dint2fp'], ['full precision', 'point converter', 'ieee-754', 'precision real'], ['dint2fp', 'convert operation', 'point converter', 'ieee-754', 'precision real']]"
"('spartan-ii',)",[['spartan-ii']]
"('source code', 'code', 'source code:', 'verilog rtl', 'vhdl source', 'source', 'interface')","[['source code:', 'source', 'interface', 'source code', 'verilog rtl'], ['source code:', 'source', 'code', 'vhdl source'], ['verilog rtl', 'source code', 'interface', 'source', 'code', 'vhdl source']]"
"('local', 'request', 'special', 'distributors')","[['local', 'distributors', 'request', 'special']]"
"('integers', 'fed', 'pipelined', 'periods')","[['integers', 'periods', 'fed'], ['integers', 'periods', 'pipelined'], ['fed', 'periods', 'pipelined']]"
"('vhdl source code', 'vhdl source code or/and')","[['vhdl source code', 'vhdl source code or/and']]"
"('product', 'manufactured', 'sites', 'licensed', 'project', 'pins')","[['sites', 'manufactured', 'licensed'], ['sites', 'manufactured', 'product', 'project'], ['sites', 'manufactured', 'pins'], ['licensed', 'manufactured', 'product', 'project'], ['licensed', 'manufactured', 'pins'], ['project', 'product', 'manufactured', 'pins']]"
"('within', 'use', 'selected', 'cases')","[['within', 'cases', 'use', 'selected']]"
"('dedicated', 'companies', 'deliverables', 'sized', 'location', 'small')","[['dedicated', 'location', 'deliverables', 'companies'], ['dedicated', 'location', 'deliverables', 'sized', 'small'], ['companies', 'deliverables', 'sized', 'small']]"
"('test', 'control', 'verilog test', 'test bench', 'verilog test bench')","[['verilog test', 'test', 'control', 'test bench'], ['verilog test', 'test', 'verilog test bench'], ['test bench', 'control', 'test', 'verilog test bench']]"
"('gives', 'several', 'free', 'time')","[['gives', 'time', 'several'], ['gives', 'time', 'free'], ['several', 'time', 'free']]"
"('please contact', 'site', 'two', 'middle', 'single', 'operation', 'check', 'delivered', 'area', 'please', 'please check:', 'next', 'modification', 'performance', 'supports', 'available', 'option', 'single site', 'route', 'equal', 'contact', 'place', 'formats', 'first')","[['please contact', 'please', 'contact', 'performance', 'two'], ['please contact', 'please', 'check'], ['please contact', 'please', 'please check:'], ['please contact', 'please', 'contact', 'place', 'modification'], ['please contact', 'please', 'contact', 'performance', 'middle', 'site', 'option'], ['please contact', 'please', 'contact', 'performance', 'middle', 'single site'], ['please contact', 'please', 'contact', 'place', 'route'], ['please contact', 'please', 'contact', 'performance', 'middle', 'single', 'next', 'supports', 'available', 'operation', 'equal'], ['please contact', 'please', 'contact', 'performance', 'area', 'delivered', 'formats'], ['please contact', 'please', 'contact', 'performance', 'middle', 'single', 'first'], ['two', 'performance', 'contact', 'please', 'check'], ['two', 'performance', 'contact', 'please', 'please check:'], ['two', 'performance', 'contact', 'place', 'modification'], ['two', 'performance', 'middle', 'site', 'option'], ['two', 'performance', 'middle', 'single site'], ['two', 'performance', 'contact', 'place', 'route'], ['two', 'performance', 'middle', 'single', 'next', 'supports', 'available', 'operation', 'equal'], ['two', 'performance', 'area', 'delivered', 'formats'], ['two', 'performance', 'middle', 'single', 'first'], ['check', 'please', 'please check:'], ['check', 'please', 'contact', 'place', 'modification'], ['check', 'please', 'contact', 'performance', 'middle', 'site', 'option'], ['check', 'please', 'contact', 'performance', 'middle', 'single site'], ['check', 'please', 'contact', 'place', 'route'], ['check', 'please', 'contact', 'performance', 'middle', 'single', 'next', 'supports', 'available', 'operation', 'equal'], ['check', 'please', 'contact', 'performance', 'area', 'delivered', 'formats'], ['check', 'please', 'contact', 'performance', 'middle', 'single', 'first'], ['please check:', 'please', 'contact', 'place', 'modification'], ['please check:', 'please', 'contact', 'performance', 'middle', 'site', 'option'], ['please check:', 'please', 'contact', 'performance', 'middle', 'single site'], ['please check:', 'please', 'contact', 'place', 'route'], ['please check:', 'please', 'contact', 'performance', 'middle', 'single', 'next', 'supports', 'available', 'operation', 'equal'], ['please check:', 'please', 'contact', 'performance', 'area', 'delivered', 'formats'], ['please check:', 'please', 'contact', 'performance', 'middle', 'single', 'first'], ['modification', 'place', 'contact', 'performance', 'middle', 'site', 'option'], ['modification', 'place', 'contact', 'performance', 'middle', 'single site'], ['modification', 'place', 'route'], ['modification', 'place', 'contact', 'performance', 'middle', 'single', 'next', 'supports', 'available', 'operation', 'equal'], ['modification', 'place', 'contact', 'performance', 'area', 'delivered', 'formats'], ['modification', 'place', 'contact', 'performance', 'middle', 'single', 'first'], ['option', 'site', 'middle', 'single site'], ['option', 'site', 'middle', 'performance', 'contact', 'place', 'route'], ['option', 'site', 'middle', 'single', 'next', 'supports', 'available', 'operation', 'equal'], ['option', 'site', 'middle', 'performance', 'area', 'delivered', 'formats'], ['option', 'site', 'middle', 'single', 'first'], ['single site', 'middle', 'performance', 'contact', 'place', 'route'], ['single site', 'middle', 'single', 'next', 'supports', 'available', 'operation', 'equal'], ['single site', 'middle', 'performance', 'area', 'delivered', 'formats'], ['single site', 'middle', 'single', 'first'], ['route', 'place', 'contact', 'performance', 'middle', 'single', 'next', 'supports', 'available', 'operation', 'equal'], ['route', 'place', 'contact', 'performance', 'area', 'delivered', 'formats'], ['route', 'place', 'contact', 'performance', 'middle', 'single', 'first'], ['equal', 'operation', 'available', 'supports', 'next', 'single', 'middle', 'performance', 'area', 'delivered', 'formats'], ['equal', 'operation', 'available', 'supports', 'next', 'single', 'first'], ['formats', 'delivered', 'area', 'performance', 'middle', 'single', 'first']]"
"('ip core updates,', 'changes', 'major', 'versions')","[['changes', 'ip core updates,', 'major'], ['changes', 'ip core updates,', 'versions'], ['major', 'ip core updates,', 'versions']]"
"('math',)",[['math']]
"('site license option', 'site license', 'single site license')","[['site license option', 'site license', 'single site license']]"
"('full ieee-754 compliance', 'algorithms', 'ieee-754 compliance')","[['full ieee-754 compliance', 'ieee-754 compliance', 'algorithms']]"
"('instantiation', 'multi sites')","[['instantiation', 'multi sites']]"
"('defined', 'using', 'make', 'without')","[['using', 'without', 'defined', 'make']]"
"('ncsim', 'installation', 'netlist', 'fpga', 'notes', 'fpga edif/ngo/ngd/qxp/vqm')","[['ncsim', 'netlist', 'fpga', 'installation'], ['ncsim', 'netlist', 'notes'], ['ncsim', 'netlist', 'fpga edif/ngo/ngd/qxp/vqm'], ['installation', 'fpga', 'netlist', 'notes'], ['installation', 'fpga', 'netlist', 'fpga edif/ngo/ngd/qxp/vqm'], ['notes', 'netlist', 'fpga edif/ngo/ngd/qxp/vqm']]"
"('vhdl', 'code or/and')","[['vhdl', 'code or/and']]"
"('69',)",[['69']]
"('delivery', 'core', 'specification')","[['delivery', 'core', 'specification']]"
"('programming', 'simulation')","[['programming', 'simulation']]"
"('real', 'result')","[['real', 'result']]"
"('full ieee-754', 'dsp')","[['full ieee-754', 'dsp']]"
"('fully', 'configurable')","[['fully', 'configurable']]"
"('static', 'design')","[['static', 'design']]"
"('single precision', 'processing', 'precision', 'bench', 'environment', 'macros')","[['precision', 'macros', 'single precision', 'environment', 'processing', 'bench']]"
"('months', 'maintenance')","[['months', 'maintenance']]"
"('accomplished', 'floating')","[['accomplished', 'floating']]"
"('ip', 'royalty-per-chip fees,')","[['ip', 'royalty-per-chip fees,']]"
"('multi sites license', 'ip core instantiation', 'license', 'business', 'core instantiation', 'license option')","[['multi sites license', 'core instantiation', 'license', 'ip core instantiation'], ['multi sites license', 'core instantiation', 'business'], ['multi sites license', 'core instantiation', 'license', 'license option'], ['ip core instantiation', 'license', 'core instantiation', 'business'], ['ip core instantiation', 'license', 'license option'], ['business', 'core instantiation', 'license', 'license option']]"
"('compliant', 'cycle', 'point')","[['compliant', 'cycle', 'point']]"
"('hdl', 'core specification')","[['hdl', 'core specification']]"
"('integer', 'word integer', 'bytes', 'word', 'coprocessor')","[['word integer', 'word', 'bytes', 'integer', 'coprocessor']]"
"('headquarters',)",[['headquarters']]
"('royalty-per-chip', 'ip core')","[['royalty-per-chip', 'ip core']]"
"('core updates,', 'updates', 'minor')","[['core updates,', 'minor', 'updates']]"
"('rtl', 'modelsim', 'hdl source', 'simple interface')","[['rtl', 'hdl source', 'modelsim'], ['rtl', 'hdl source', 'simple interface'], ['modelsim', 'hdl source', 'simple interface']]"
