"('added', 'standard')","[['added', 'standard']]"
"('latency y fully synchronous', 'latency y fully', 'fpga', 'latency y', 'y optimized', 'y supports floating point', 'y fully synchronous', 'y available', 'y compliance', 'y compatible,', 'point addition/subtraction', 'y supports floating', 'y supports', 'y fully')","[['latency y fully synchronous', 'latency y', 'latency y fully'], ['latency y fully synchronous', 'latency y', 'fpga', 'y available', 'y optimized'], ['latency y fully synchronous', 'latency y', 'fpga', 'y fully', 'y fully synchronous'], ['latency y fully synchronous', 'latency y', 'fpga', 'y available', 'y compliance'], ['latency y fully', 'latency y', 'fpga', 'y available', 'y optimized'], ['latency y fully', 'latency y', 'fpga', 'y fully', 'y fully synchronous'], ['latency y fully', 'latency y', 'fpga', 'y available', 'y compliance'], ['y optimized', 'y available', 'fpga', 'y fully', 'y fully synchronous'], ['y optimized', 'y available', 'y compliance'], ['y fully synchronous', 'y fully', 'fpga', 'y available', 'y compliance']]"
"('suite', 'ca', 'page', 'floor')","[['suite', 'page', 'ca'], ['suite', 'page', 'floor'], ['ca', 'page', 'floor']]"
"('present', 'swaps', 'additionally')","[['present', 'swaps', 'additionally']]"
"('input', 'second')","[['input', 'second']]"
"('port',)",[['port']]
"('introduction',)",[['introduction']]
"('stored',)",[['stored']]
"('x1', 'fraction')","[['x1', 'fraction']]"
"('implementation', 'comparator stage', 'comparator')","[['implementation', 'comparator', 'comparator stage']]"
"('large', 'required')","[['large', 'required']]"
"('sjr', 'white field,', 'bangalore', 'mobius')","[['sjr', 'white field,', 'bangalore'], ['sjr', 'white field,', 'mobius'], ['bangalore', 'white field,', 'mobius']]"
"('white', 'pvt', '408')","[['white', '408', 'pvt']]"
"('generally', 'namely', 'part', 'complicated')","[['generally', 'namely', 'complicated', 'part']]"
"('gordon ave,', 'santa clara,', 'gordon', 'www.softjin.com')","[['gordon ave,', 'gordon', 'santa clara,', 'www.softjin.com']]"
"('fig',)",[['fig']]
"('designers', 'helps')","[['designers', 'helps']]"
"('fields', 'shown')","[['fields', 'shown']]"
"('blocks',)",[['blocks']]
"('width', 'data', 'inb', 'data width')","[['data', 'width', 'data width', 'inb']]"
"('fully', 'single', 'clock', 'wide')","[['fully', 'wide', 'clock', 'single']]"
"('inputs', 'adjusted', 'subtracted')","[['inputs', 'subtracted', 'adjusted']]"
"('represented', 'performance', 'representing')","[['represented', 'performance', 'representing']]"
"('comparison', 'verification')","[['comparison', 'verification']]"
"('applications', 'useful', 'arithmetic', 'dynamic')","[['useful', 'applications', 'arithmetic'], ['useful', 'applications', 'dynamic'], ['arithmetic', 'applications', 'dynamic']]"
"('source code', 'code', 'rtl source', 'source', 'generated', 'rtl source code')","[['rtl source', 'code', 'source code', 'rtl source code', 'source'], ['rtl source', 'code', 'generated'], ['source', 'rtl source code', 'source code', 'code', 'generated']]"
"('fpu', 'figure2')","[['fpu', 'figure2']]"
"('point numbers:', 'floating point', 'investigated', 'point adder/subtracter', 'point', 'point representation:', 'point number', 'format', 'prototyping', 'perform', 'range', 'subtraction', 'thoroughly', 'floating')","[['point numbers:', 'point', 'floating', 'floating point'], ['point numbers:', 'point', 'floating', 'point representation:'], ['point numbers:', 'point', 'floating', 'format', 'investigated', 'prototyping'], ['point numbers:', 'point', 'floating', 'format', 'perform'], ['point numbers:', 'point', 'floating', 'format', 'range'], ['point numbers:', 'point', 'floating', 'subtraction'], ['point numbers:', 'point', 'floating', 'format', 'thoroughly'], ['floating point', 'floating', 'point representation:'], ['floating point', 'floating', 'format', 'investigated', 'prototyping'], ['floating point', 'floating', 'format', 'perform'], ['floating point', 'floating', 'format', 'range'], ['floating point', 'floating', 'subtraction'], ['floating point', 'floating', 'format', 'thoroughly'], ['point representation:', 'floating', 'format', 'investigated', 'prototyping'], ['point representation:', 'floating', 'format', 'perform'], ['point representation:', 'floating', 'format', 'range'], ['point representation:', 'floating', 'subtraction'], ['point representation:', 'floating', 'format', 'thoroughly'], ['prototyping', 'investigated', 'format', 'perform'], ['prototyping', 'investigated', 'format', 'range'], ['prototyping', 'investigated', 'format', 'floating', 'subtraction'], ['prototyping', 'investigated', 'format', 'thoroughly'], ['perform', 'format', 'range'], ['perform', 'format', 'floating', 'subtraction'], ['perform', 'format', 'thoroughly'], ['range', 'format', 'floating', 'subtraction'], ['range', 'format', 'thoroughly'], ['subtraction', 'floating', 'format', 'thoroughly']]"
"('x m',)",[['x m']]
"('dsp processors use',)",[['dsp processors use']]
"('rapid', 'number')","[['rapid', 'number']]"
"('output',)",[['output']]
"('gpl ghostscript', 'gpl', 'ghostscript')","[['gpl', 'gpl ghostscript', 'ghostscript']]"
"('918041779999', '7731745', 'us', '7731714', '10011', '918041157070')","[['918041779999', '10011', '7731745'], ['918041779999', '10011', 'us'], ['918041779999', '10011', '7731714'], ['918041779999', '10011', '918041157070'], ['7731745', '10011', 'us'], ['7731745', '10011', '7731714'], ['7731745', '10011', '918041157070'], ['us', '10011', '7731714'], ['us', '10011', '918041157070'], ['7731714', '10011', '918041157070']]"
"('bias',)",[['bias']]
"('294',)",[['294']]
"('ipark', 'clara', 'india', 'karnataka', 'usa')","[['ipark', 'usa', 'clara'], ['ipark', 'usa', 'india'], ['ipark', 'usa', 'karnataka'], ['clara', 'usa', 'india'], ['clara', 'usa', 'karnataka'], ['india', 'usa', 'karnataka']]"
"('overview', 'model', 'numbers')","[['overview', 'numbers', 'model']]"
"('definition', 'signal definition table', 'signal definition')","[['definition', 'signal definition', 'signal definition table']]"
"('orsignbit', 'bias m')","[['orsignbit', 'bias m']]"
"('using',)",[['using']]
"('8.15', '5.2', 'version')","[['8.15', 'version', '5.2']]"
"('560', 'technologies', '95051', '1st')","[['560', 'technologies', '95051', '1st']]"
"('functional', 'functional description:')","[['functional', 'functional description:']]"
"('signal',)",[['signal']]
"('entire', 'frequency')","[['entire', 'frequency']]"
"('representation',)",[['representation']]
"('general',)",[['general']]
"('direction', 'ina')","[['direction', 'ina']]"
"('approaches', 'verified', 'value')","[['approaches', 'value', 'verified']]"
"('add/sub', 'ip', 'ip performance', 'performance table', 'fpu add/sub', 'ip performance table', 'fpu add/sub ip', 'fpu add/sub ip performance', 'point add/sub')","[['ip performance table', 'ip performance', 'performance table', 'ip', 'add/sub', 'fpu add/sub ip'], ['ip performance table', 'ip performance', 'performance table', 'fpu add/sub', 'fpu add/sub ip performance'], ['ip performance table', 'ip performance', 'performance table', 'ip', 'add/sub', 'point add/sub'], ['fpu add/sub ip', 'add/sub', 'ip', 'performance table', 'fpu add/sub', 'fpu add/sub ip performance'], ['fpu add/sub ip', 'add/sub', 'point add/sub'], ['fpu add/sub ip performance', 'fpu add/sub', 'performance table', 'ip', 'add/sub', 'point add/sub']]"
"('count', 'fed', 'slice')","[['count', 'fed', 'slice']]"
"('rtl', 'behavioral model', 'verilog', 'verilog behavioral,', 'behavioral')","[['behavioral model', 'behavioral', 'rtl', 'verilog'], ['behavioral model', 'behavioral', 'rtl', 'verilog behavioral,'], ['verilog', 'rtl', 'verilog behavioral,']]"
"('ave', 'tower', 'email')","[['ave', 'tower', 'email']]"
"('compatible', 'families')","[['compatible', 'families']]"
"('smaller', 'result', 'larger')","[['result', 'smaller', 'larger']]"
"('following',)",[['following']]
"('device', 'op')","[['device', 'op']]"
"('significand', 'signmagnitude form', ""'fraction'"", 'exponent', 'signmagnitude')","[['significand', 'signmagnitude', 'signmagnitude form'], ['significand', 'signmagnitude', 'exponent', ""'fraction'""], ['signmagnitude form', 'signmagnitude', 'exponent', ""'fraction'""]]"
