"('z_inst',)",[['z_inst']]
"('overview', 'datapath generator', 'datapath', 'designware datapath')","[['overview', 'datapath', 'datapath generator'], ['overview', 'datapath', 'designware datapath'], ['datapath generator', 'datapath', 'designware datapath']]"
"('source', 'field', 'code', 'verilog simulation', 'synthesis')","[['source', 'synthesis', 'field'], ['source', 'synthesis', 'code', 'verilog simulation'], ['field', 'synthesis', 'code', 'verilog simulation']]"
"('inst_sig_width',)",[['inst_sig_width']]
"('instance',)",[['instance']]
"('set', 'zeros', 'operates')","[['set', 'operates', 'zeros']]"
"('map', 'port', 'port map')","[['map', 'port map', 'port']]"
"('inst_a',)",[['inst_a']]
"('translate_off',)",[['translate_off']]
"('31', 'range', 'exponents')","[['31', 'exponents', 'range']]"
"('format', 'parameters', 'standard')","[['format', 'standard', 'parameters']]"
"('ieee_compliance', 'model source', 'verilog simulation model')","[['model source', 'ieee_compliance', 'verilog simulation model']]"
"('better', 'timing', 'employed', 'generator', 'area')","[['timing', 'better', 'area', 'employed'], ['timing', 'better', 'area', 'generator'], ['employed', 'area', 'generator']]"
"('function', 'source code', 'direction', 'name', 'pin', 'implementation', 'pin name', 'values', 'therefore', 'model', 'bits')","[['function', 'model', 'bits', 'source code'], ['function', 'model', 'name', 'pin'], ['function', 'model', 'name', 'direction', 'implementation'], ['function', 'model', 'pin name'], ['function', 'model', 'name', 'values', 'therefore'], ['source code', 'bits', 'model', 'name', 'pin'], ['source code', 'bits', 'model', 'name', 'direction', 'implementation'], ['source code', 'bits', 'model', 'pin name'], ['source code', 'bits', 'model', 'name', 'values', 'therefore'], ['pin', 'name', 'direction', 'implementation'], ['pin', 'name', 'model', 'pin name'], ['pin', 'name', 'values', 'therefore'], ['implementation', 'direction', 'name', 'model', 'pin name'], ['implementation', 'direction', 'name', 'values', 'therefore'], ['pin name', 'model', 'name', 'values', 'therefore']]"
"('length', 'word', 'exponent', 'word length')","[['length', 'word', 'exponent'], ['length', 'word', 'word length'], ['exponent', 'word', 'word length']]"
"('inst',)",[['inst']]
