"('processors', 'present')","[['present', 'processors']]"
"('Performance', 'IEEE', 'Figure', 'Schematic')","[['Performance', 'Schematic', 'Figure'], ['Schematic', 'Figure'], ['IEEE', 'Performance', 'Schematic']]"
"('Latency', 'Latency Y Fully Synchronous', 'Latency Y Fully', 'Latency Y', 'Y Fully', 'Simple Interface', 'Simple', 'Y Fully Synchronous', 'Simple Interface Y Optimized', 'Simple Interface Y', 'Speed')","[['Simple', 'Speed'], ['Latency', 'Speed'], ['Simple Interface', 'Simple', 'Speed'], ['Latency Y', 'Y Fully', 'Latency'], ['Y Fully', 'Latency', 'Speed'], ['Latency Y Fully', 'Latency Y', 'Y Fully'], ['Simple Interface Y', 'Simple Interface', 'Simple'], ['Y Fully Synchronous', 'Y Fully', 'Latency'], ['Latency Y Fully Synchronous', 'Latency Y', 'Y Fully'], ['Simple Interface Y Optimized', 'Simple Interface', 'Simple'], ['Simple Interface Y', 'Simple Interface', 'Simple Interface Y Optimized'], ['Latency Y Fully', 'Latency Y', 'Latency Y Fully Synchronous'], ['Latency Y', 'Y Fully', 'Y Fully Synchronous'], ['Latency', 'Speed', 'Simple']]"
"('Figure1',)",[['Figure1']]
"('Definition', 'Signal Definition Table', 'Signal Definition', 'Table')","[['Definition', 'Signal Definition'], ['Table', 'Definition', 'Signal Definition'], ['Signal Definition Table', 'Table', 'Definition']]"
"('Implementation', 'Figure2')","[['Figure2', 'Implementation']]"
"('Second', 'first', 'stage')","[['first', 'Second'], ['stage', 'first', 'Second']]"
"('Performance table',)",[['Performance table']]
"('Gordon Ave,', 'Clara')","[['Clara', 'Gordon Ave,']]"
"('RTL', 'Behavioral model', 'Tis', 'Verilog', 'Verilog Behavioral,', 'Behavioral')","[['Verilog', 'RTL', 'Tis'], ['RTL', 'Tis'], ['Behavioral', 'RTL', 'Tis'], ['Behavioral model', 'Behavioral', 'RTL'], ['Verilog Behavioral,', 'Verilog', 'RTL'], ['Behavioral', 'RTL', 'Verilog']]"
"('Direction', 'InA')","[['Direction', 'InA']]"
"('generation', 'moved')","[['generation', 'moved']]"
"('latency', 'period')","[['period', 'latency']]"
"('calculation', 'calculated', 'left', 'Verification', 'final')","[['Verification', 'calculated'], ['final', 'calculated'], ['calculation', 'Verification', 'calculated'], ['left', 'calculated'], ['Verification', 'calculated', 'final'], ['Verification', 'calculated', 'left'], ['final', 'calculated', 'left']]"
"('pipelined', 'implemented', 'last')","[['implemented', 'pipelined'], ['last', 'pipelined'], ['implemented', 'pipelined', 'last']]"
"('207.04', 'Multiplier Output', 'Invalid', 'Multiplier')","[['207.04', 'Invalid', 'Multiplier Output'], ['Invalid', 'Multiplier Output'], ['Multiplier', 'Multiplier Output'], ['Invalid', 'Multiplier Output', 'Multiplier']]"
"('Y Optimized',)",[['Y Optimized']]
"('barun',)",[['barun']]
"('USA',)",[['USA']]
"('Multiplier unit',)",[['Multiplier unit']]
"('8.15', '5.2', 'Version', 'Ghostscript')","[['Ghostscript', 'Version', '5.2'], ['Version', '5.2'], ['8.15', 'Version', '5.2'], ['8.15', 'Version', 'Ghostscript']]"
"('every',)",[['every']]
"('Width', 'Data', 'Data Width', 'InB')","[['InB', 'Data Width'], ['Width', 'Data Width'], ['Data', 'Width', 'Data Width'], ['InB', 'Data Width', 'Width']]"
"('918041779999', '2900', '95051', '1st', '102', '10011')","[['918041779999', '10011', '1st'], ['10011', '1st'], ['102', '10011', '1st'], ['2900', '1st'], ['95051', '2900', '1st'], ['10011', '1st', '2900'], ['102', '10011', '918041779999']]"
"('Fax',)",[['Fax']]
"('Virtex5', 'XC5VLX50FF324')","[['XC5VLX50FF324', 'Virtex5']]"
"('board', 'Xilinx FPGA')","[['board', 'Xilinx FPGA']]"
"('EPIP', 'White Field,', 'BANGALORE')","[['EPIP', 'White Field,'], ['BANGALORE', 'White Field,'], ['BANGALORE', 'White Field,', 'EPIP']]"
"('four', 'multiplexer', 'selection', 'Description')","[['selection', 'multiplexer'], ['four', 'multiplexer'], ['Description', 'multiplexer'], ['Description', 'multiplexer', 'four'], ['Description', 'multiplexer', 'selection'], ['four', 'multiplexer', 'selection']]"
"('outputs', 'bits', 'looks', 'assuming')","[['looks', 'outputs'], ['assuming', 'outputs'], ['bits', 'looks', 'outputs'], ['assuming', 'outputs', 'looks']]"
"('mantissa calculator,',)","[['mantissa calculator,']]"
"('generated', 'selected')","[['selected', 'generated']]"
"('Normalization Block:',)",[['Normalization Block:']]
"('point support',)",[['point support']]
"('looking', 'modules', 'calculates', 'processed')","[['looking', 'calculates'], ['modules', 'calculates'], ['processed', 'calculates'], ['looking', 'calculates', 'modules'], ['looking', 'calculates', 'processed'], ['modules', 'calculates', 'processed']]"
"('Xilinx', 're', 'FPGA board', 'Emulation')","[['Xilinx', 're', 'Emulation'], ['re', 'Emulation'], ['FPGA board', 'Xilinx', 're']]"
"('multiplier', 'element', 'applications', 'common', 'digital', 'Floating')","[['common', 'applications', 'Floating'], ['applications', 'Floating', 'element'], ['multiplier', 'common', 'applications'], ['Floating', 'element', 'digital'], ['element', 'digital']]"
"('RTL source code', 'RTL source')","[['RTL source', 'RTL source code']]"
"('produce',)",[['produce']]
"('Block Diagram',)",[['Block Diagram']]
"('Virtex4', 'XC4VLX25FF676')","[['Virtex4', 'XC4VLX25FF676']]"
"('Introduction',)",[['Introduction']]
"('Y Simple Interface Y', 'Y Simple Interface', 'Y Simple')","[['Y Simple', 'Y Simple Interface'], ['Y Simple', 'Y Simple Interface Y']]"
"('operations', 'output', 'supports', 'numbers')","[['operations', 'numbers', 'supports'], ['numbers', 'supports', 'output'], ['supports', 'output']]"
"('Pipelined Y', 'Compliance', 'Pipelined', 'Y Compliance', 'Pipelined Y Compliance')","[['Pipelined', 'Compliance'], ['Y Compliance', 'Compliance'], ['Pipelined Y', 'Pipelined', 'Compliance'], ['Pipelined Y Compliance', 'Pipelined Y', 'Pipelined'], ['Pipelined', 'Compliance', 'Y Compliance']]"
"('Deliverables',)",[['Deliverables']]
"('previously', 'leading', 'right', 'Unit')","[['right', 'previously', 'Unit'], ['previously', 'Unit'], ['leading', 'previously', 'Unit'], ['leading', 'previously', 'right']]"
"('Frequency', 'MHz')","[['MHz', 'Frequency']]"
"('Signal', 'Signal Table')","[['Signal', 'Signal Table']]"
"('standard',)",[['standard']]
"('perform', 'represented', 'floating', 'designers', 'helps')","[['helps', 'floating'], ['designers', 'floating'], ['represented', 'designers', 'floating'], ['perform', 'floating'], ['designers', 'floating', 'helps'], ['designers', 'floating', 'perform'], ['helps', 'floating', 'perform']]"
"('multiplying', ""mantissa's"")","[[""mantissa's"", 'multiplying']]"
"('performs',)",[['performs']]
"('data',)",[['data']]
"('SJR iPark,', 'iPark', 'Mobius')","[['iPark', 'SJR iPark,'], ['Mobius', 'SJR iPark,'], ['Mobius', 'SJR iPark,', 'iPark']]"
"('exor', 'Sign Calculator:', 'Calculator', 'Sign')","[['exor', 'Sign Calculator:'], ['Calculator', 'exor', 'Sign Calculator:'], ['Sign', 'Sign Calculator:'], ['Sign', 'Sign Calculator:', 'exor']]"
"('result', 'appears', 'cycle')","[['result', 'cycle'], ['appears', 'cycle'], ['appears', 'cycle', 'result']]"
"('Web', 'Floor', '066', '7731714', 'Ave', 'Suite', 'www.softjin.com')","[['Suite', 'Floor'], ['7731714', 'Suite', 'Floor'], ['Ave', 'Suite', 'Floor'], ['Web', 'Suite', 'Floor'], ['www.softjin.com', 'Web', 'Suite'], ['066', 'Suite', 'Floor'], ['066', 'Suite', '7731714'], ['066', 'Suite', 'Ave'], ['066', 'Suite', 'Web'], ['7731714', 'Suite', 'Ave'], ['7731714', 'Suite', 'Web'], ['Ave', 'Suite', 'Web']]"
"('Diagram', 'Symbolic Diagram:', 'Symbolic')","[['Symbolic', 'Diagram'], ['Symbolic Diagram:', 'Symbolic', 'Diagram']]"
"('Device', 'First')","[['First', 'Device']]"
"('Mantissa', 'Mantissa Calculator:')","[['Mantissa', 'Mantissa Calculator:']]"
"('Fully', 'operation', 'flags', 'single')","[['Fully', 'operation', 'single'], ['operation', 'single'], ['flags', 'single'], ['flags', 'single', 'operation']]"
"('Signals', 'signal', 'values', 'remaining')","[['Signals', 'signal'], ['remaining', 'Signals', 'signal'], ['values', 'signal'], ['Signals', 'signal', 'values']]"
"('clk',)",[['clk']]
"('test', 'input', 'vectors', 'Ccode')","[['Ccode', 'input', 'vectors'], ['input', 'vectors'], ['test', 'vectors'], ['input', 'vectors', 'test']]"
"('amount',)",[['amount']]
"('Y Supports Overflow,', 'Y Single', 'Y Single precision', 'Y Available', 'Y Supports', 'precision real')","[['Y Single', 'precision real'], ['Y Available', 'precision real'], ['Y Supports', 'precision real'], ['Y Single precision', 'Y Single', 'precision real'], ['Y Supports Overflow,', 'Y Supports', 'precision real'], ['Y Available', 'precision real', 'Y Single'], ['Y Available', 'precision real', 'Y Supports'], ['Y Single', 'precision real', 'Y Supports']]"
"('SJR', 'Mobius Tower,', 'Tel', 'Karnataka', 'Santa')","[['Karnataka', 'Tel'], ['SJR', 'Tel'], ['Santa', 'Tel'], ['Mobius Tower,', 'SJR', 'Tel'], ['Karnataka', 'Tel', 'SJR'], ['Karnataka', 'Tel', 'Santa'], ['SJR', 'Tel', 'Santa']]"
"('process', 'repeated', 'three', 'Depending')","[['repeated', 'three', 'Depending'], ['three', 'Depending'], ['process', 'three', 'Depending'], ['process', 'three', 'repeated']]"
"('Microsoft Word', 'Word', 'Microsoft')","[['Word', 'Microsoft Word'], ['Microsoft', 'Microsoft Word'], ['Microsoft', 'Microsoft Word', 'Word']]"
"('inputs', 'sign bit', 'bit', 'Exhaustive', 'simulation')","[['bit', 'simulation', 'inputs'], ['simulation', 'inputs'], ['Exhaustive', 'inputs'], ['sign bit', 'Exhaustive', 'inputs'], ['Exhaustive', 'inputs', 'simulation']]"
"('real', 'Single precision', 'support')","[['real', 'support', 'Single precision'], ['support', 'Single precision']]"
"('White', 'Pvt', 'Tower', '408')","[['408', 'Pvt'], ['White', '408', 'Pvt'], ['Tower', '408', 'Pvt'], ['Tower', '408', 'White']]"
"('source code', 'model', 'code', 'results', 'source')","[['code', 'source code'], ['results', 'code', 'source code'], ['source', 'source code'], ['model', 'source', 'source code'], ['code', 'source code', 'source']]"
"('large', 'useful', 'required', 'dynamic')","[['dynamic', 'required'], ['large', 'required'], ['useful', 'required'], ['dynamic', 'required', 'large'], ['dynamic', 'required', 'useful'], ['large', 'required', 'useful']]"
"('Overflow Flag',)",[['Overflow Flag']]
"('DSP Processors', 'DSP')","[['DSP', 'DSP Processors']]"
"('IP', 'FPGA', 'Multiplier IP')","[['FPGA', 'IP'], ['Multiplier IP', 'IP'], ['FPGA', 'IP', 'Multiplier IP']]"
"('table',)",[['table']]
"('used', 'arithmetic')","[['arithmetic', 'used']]"
"('Underflow Flag', 'Underflow')","[['Underflow', 'Underflow Flag']]"
"('Flag', 'Invalid Output Flag', 'Invalid Output')","[['Flag', 'Invalid Output'], ['Invalid Output Flag', 'Invalid Output'], ['Flag', 'Invalid Output', 'Invalid Output Flag']]"
"('part', 'stages', 'complicated', 'Block')","[['complicated', 'Block', 'stages'], ['Block', 'stages'], ['part', 'Block', 'stages'], ['complicated', 'Block', 'part']]"
"('needs', 'much', 'number')","[['number', 'much', 'needs'], ['much', 'needs']]"
"('FLOATING', 'MULTIPLIER', 'FLOATING POINT', 'POINT')","[['FLOATING', 'POINT'], ['MULTIPLIER', 'POINT'], ['FLOATING POINT', 'FLOATING', 'POINT'], ['FLOATING', 'POINT', 'MULTIPLIER']]"
"('blocks', 'exponent calculator,', 'sign calculator,', 'sign', 'works', 'parallel', 'unit', 'exponent')","[['works', 'blocks', 'exponent'], ['blocks', 'exponent', 'sign'], ['exponent', 'sign'], ['unit', 'works', 'blocks'], ['parallel', 'works', 'blocks'], ['sign calculator,', 'sign'], ['exponent calculator,', 'exponent', 'sign'], ['parallel', 'works', 'unit'], ['exponent', 'sign', 'sign calculator,'], ['blocks', 'exponent', 'exponent calculator,']]"
"('Field', 'CA')","[['Field', 'CA']]"
"('Multiplication', 'point', 'Point')","[['point', 'Point'], ['Multiplication', 'Point'], ['Multiplication', 'Point', 'point']]"
"('consists', 'following', 'approaches', 'work', 'verified')","[['consists', 'approaches'], ['work', 'consists', 'approaches'], ['following', 'verified', 'approaches'], ['verified', 'approaches'], ['consists', 'approaches', 'verified']]"
"('SoftJin',)",[['SoftJin']]
"('Features',)",[['Features']]
"('also', 'format single', 'takes', 'invalid', 'format')","[['format', 'invalid', 'also'], ['invalid', 'also'], ['takes', 'invalid', 'also'], ['format single', 'format', 'invalid'], ['format', 'invalid', 'takes']]"
"('implementation', 'accordingly', 'corrected')","[['implementation', 'corrected'], ['accordingly', 'implementation', 'corrected']]"
"('treating', 'zero', 'module')","[['treating', 'zero'], ['module', 'zero'], ['module', 'zero', 'treating']]"
"('like', 'multiplied', 'shows', 'features', 'produces')","[['produces', 'shows'], ['like', 'shows'], ['multiplied', 'shows'], ['features', 'shows'], ['features', 'shows', 'like'], ['features', 'shows', 'multiplied'], ['features', 'shows', 'produces'], ['like', 'shows', 'multiplied'], ['like', 'shows', 'produces'], ['multiplied', 'shows', 'produces']]"
"('Email', 'Page')","[['Email', 'Page']]"
"('848', 'Global', 'Clock')","[['Global', 'Clock'], ['848', 'Clock'], ['848', 'Clock', 'Global']]"
"('Reset', 'Uf', '872', '199.2')","[['Uf', '199.2', 'Reset'], ['Uf', '872'], ['199.2', 'Reset', '872'], ['Reset', '872'], ['Reset', '872', 'Uf']]"
"('Count', 'Input', 'Slice', 'Slice Count')","[['Input', 'Count'], ['Slice', 'Count'], ['Slice Count', 'Count'], ['Input', 'Count', 'Slice'], ['Input', 'Count', 'Slice Count'], ['Slice', 'Count', 'Slice Count']]"
"('filters',)",[['filters']]
"('Available', 'wide', 'Single precision real', 'precision', 'Single', 'Supports')","[['Supports', 'Available', 'Single'], ['Available', 'Single'], ['precision', 'Available', 'Single'], ['wide', 'precision', 'Available'], ['Single precision real', 'wide', 'precision'], ['Supports', 'Available', 'precision']]"
"('Santa Clara,', 'Gordon')","[['Gordon', 'Santa Clara,']]"
"('shifted', 'shift')","[['shifted', 'shift']]"
"('Y Compatible,',)","[['Y Compatible,']]"
"('Test', 'Benches', 'Xilinx FPGA board')","[['Benches', 'Test'], ['Xilinx FPGA board', 'Benches', 'Test']]"
"('GPL Ghostscript', 'GPL')","[['GPL', 'GPL Ghostscript']]"
"('mantissa',)",[['mantissa']]
"('shift amount', 'Normalization')","[['Normalization', 'shift amount']]"
"('rapid', 'Processors', 'thoroughly', 'prototyping', 'range', 'investigated')","[['Processors', 'investigated'], ['rapid', 'Processors', 'investigated'], ['prototyping', 'Processors', 'investigated'], ['range', 'rapid', 'Processors'], ['thoroughly', 'Processors', 'investigated'], ['prototyping', 'Processors', 'rapid'], ['prototyping', 'Processors', 'thoroughly'], ['rapid', 'Processors', 'thoroughly']]"
