"('xml',)",[['xml']]
"('inst_b',)",[['inst_b']]
"('required', 'license', 'fraction')","[['required', 'license', 'fraction']]"
"('denormals.', 'ieee_compliance parameter', 'parameter', 'width')","[['ieee_compliance parameter', 'denormals.', 'parameter', 'width']]"
"('topics',)",[['topics']]
"('use', '754', 'subtraction', 'architecture')","[['use', 'architecture', '754'], ['use', 'architecture', 'subtraction'], ['754', 'architecture', 'subtraction']]"
"('values', 'design', 'design unit name', 'unit', 'design unit')","[['values', 'unit', 'design'], ['values', 'unit', 'design unit name', 'design unit'], ['design', 'unit', 'design unit name', 'design unit']]"
"('available', 'controlled', 'previously', 'infinities', 'work', 'precision', 'module', 'considered', 'covers', 'backward')","[['available', 'previously', 'controlled'], ['available', 'previously', 'covers', 'work'], ['available', 'previously', 'precision'], ['available', 'previously', 'module'], ['available', 'previously', 'covers', 'infinities', 'considered', 'backward'], ['controlled', 'previously', 'covers', 'work'], ['controlled', 'previously', 'precision'], ['controlled', 'previously', 'module'], ['controlled', 'previously', 'covers', 'infinities', 'considered', 'backward'], ['work', 'covers', 'previously', 'precision'], ['work', 'covers', 'previously', 'module'], ['work', 'covers', 'infinities', 'considered', 'backward'], ['precision', 'previously', 'module'], ['precision', 'previously', 'covers', 'infinities', 'considered', 'backward'], ['module', 'previously', 'covers', 'infinities', 'considered', 'backward']]"
"('related',)",[['related']]
"('functionality',)",[['functionality']]
"('status', 'flags')","[['status', 'flags']]"
"('description',)",[['description']]
"('information', 'version')","[['information', 'version']]"
"('source', 'source code', '253')","[['source code', 'source', '253']]"
"('fully', 'operates')","[['fully', 'operates']]"
"('std_logic_arith', 'qor')","[['std_logic_arith', 'qor']]"
"('end',)",[['end']]
"('status_inst', 'endmodule')","[['status_inst', 'endmodule']]"
"('set', 'therefore', 'standard')","[['therefore', 'set', 'standard']]"
"('integer',)",[['integer']]
"('configuration',)",[['configuration']]
"('better', 'types')","[['better', 'types']]"
"('hdl usage', 'hdl usage through')","[['hdl usage', 'hdl usage through']]"
"('ip', 'documentation', 'ip documentation', 'designware building', 'block ip', 'overview')","[['documentation', 'designware building', 'ip', 'ip documentation'], ['documentation', 'designware building', 'ip', 'block ip'], ['documentation', 'designware building', 'overview'], ['ip documentation', 'ip', 'block ip'], ['ip documentation', 'ip', 'designware building', 'overview'], ['block ip', 'ip', 'designware building', 'overview']]"
"('vhdl simulation model', 'simulation model', 'op')","[['vhdl simulation model', 'op', 'simulation model']]"
"('close', 'main', 'gating', 'field')","[['close', 'main', 'gating', 'field']]"
"('designware', 'word length')","[['designware', 'word length']]"
"('directory', 'download information:', 'ip directory', 'star', 'download')","[['download information:', 'star', 'ip directory'], ['download information:', 'star', 'directory', 'download'], ['ip directory', 'star', 'directory', 'download']]"
"('addition', 'output', 'operation', 'defines')","[['addition', 'output', 'operation', 'defines']]"
"('datasheet', 'dw_fp_addsub', 'dw_fp_addsub datasheet')","[['datasheet', 'dw_fp_addsub datasheet', 'dw_fp_addsub']]"
"('benefits',)",[['benefits']]
"('23',)",[['23']]
"('std_logic',)",[['std_logic']]
"('7.1', 'framemaker')","[['7.1', 'framemaker']]"
"('ieee_compliance', 'model source', 'verilog simulation model')","[['model source', 'ieee_compliance', 'verilog simulation model']]"
"('u1',)",[['u1']]
"('normal',)",[['normal']]
"('following',)",[['following']]
