"('xml',)",[['xml']]
"('engine', 'nearest', 'continuation', 'synchronization.', 'background', 'cores.', 'operation.', 'achieve')","[['engine', 'synchronization.', 'nearest', 'operation.', 'background'], ['engine', 'synchronization.', 'nearest', 'cores.'], ['engine', 'synchronization.', 'nearest', 'operation.', 'continuation', 'achieve'], ['background', 'operation.', 'nearest', 'cores.'], ['background', 'operation.', 'continuation', 'achieve'], ['cores.', 'nearest', 'operation.', 'continuation', 'achieve']]"
"('bmon', 'bus', 'dual-chip', '1.9', 'bus monitor')","[['bmon', 'bus monitor', 'bus', 'dual-chip'], ['bmon', 'bus monitor', 'bus', '1.9'], ['dual-chip', 'bus', '1.9']]"
"('include analog', 'point', 'developed', 'single-instruction multiple-data', 'second', 'floating', 'mtap', 'i/o power', 'issues', 'ground.', 'based', 'pe', 'bandwidth storage', 'product', 'processing multiple', 'csx700 floating point processor', 'csx700 floating point', 'multiple-data', 'putting', 'csx700 floating', 'put', 'blocking', 'address space', 'kept', 'compute power', 'backward compatibility', 'amount', 'avddn', 'pe contains:', 'processor')","[['include analog', 'ground.', 'address space', 'single-instruction multiple-data'], ['include analog', 'ground.', 'address space', 'multiple-data', 'processor', 'mtap'], ['include analog', 'ground.', 'address space', 'i/o power'], ['include analog', 'ground.', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'issues', 'second', 'developed', 'product', 'based'], ['include analog', 'ground.', 'address space', 'multiple-data', 'processor', 'pe'], ['include analog', 'ground.', 'address space', 'bandwidth storage'], ['include analog', 'ground.', 'address space', 'processing multiple'], ['include analog', 'ground.', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'csx700 floating', 'csx700 floating point processor'], ['include analog', 'ground.', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'putting'], ['include analog', 'ground.', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'kept'], ['include analog', 'ground.', 'compute power'], ['include analog', 'ground.', 'address space', 'backward compatibility'], ['include analog', 'ground.', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'amount'], ['include analog', 'ground.', 'avddn'], ['include analog', 'ground.', 'pe contains:'], ['single-instruction multiple-data', 'address space', 'multiple-data', 'processor', 'mtap'], ['single-instruction multiple-data', 'address space', 'i/o power'], ['single-instruction multiple-data', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'issues', 'second', 'developed', 'product', 'based'], ['single-instruction multiple-data', 'address space', 'multiple-data', 'processor', 'pe'], ['single-instruction multiple-data', 'address space', 'bandwidth storage'], ['single-instruction multiple-data', 'address space', 'processing multiple'], ['single-instruction multiple-data', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'csx700 floating', 'csx700 floating point processor'], ['single-instruction multiple-data', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'putting'], ['single-instruction multiple-data', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'kept'], ['single-instruction multiple-data', 'address space', 'ground.', 'compute power'], ['single-instruction multiple-data', 'address space', 'backward compatibility'], ['single-instruction multiple-data', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'amount'], ['single-instruction multiple-data', 'address space', 'ground.', 'avddn'], ['single-instruction multiple-data', 'address space', 'ground.', 'pe contains:'], ['mtap', 'processor', 'multiple-data', 'address space', 'i/o power'], ['mtap', 'processor', 'csx700 floating point', 'point', 'issues', 'second', 'developed', 'product', 'based'], ['mtap', 'processor', 'pe'], ['mtap', 'processor', 'multiple-data', 'address space', 'bandwidth storage'], ['mtap', 'processor', 'multiple-data', 'address space', 'processing multiple'], ['mtap', 'processor', 'csx700 floating point', 'csx700 floating', 'csx700 floating point processor'], ['mtap', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'putting'], ['mtap', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'kept'], ['mtap', 'processor', 'multiple-data', 'address space', 'ground.', 'compute power'], ['mtap', 'processor', 'multiple-data', 'address space', 'backward compatibility'], ['mtap', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'amount'], ['mtap', 'processor', 'multiple-data', 'address space', 'ground.', 'avddn'], ['mtap', 'processor', 'multiple-data', 'address space', 'ground.', 'pe contains:'], ['i/o power', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'issues', 'second', 'developed', 'product', 'based'], ['i/o power', 'address space', 'multiple-data', 'processor', 'pe'], ['i/o power', 'address space', 'bandwidth storage'], ['i/o power', 'address space', 'processing multiple'], ['i/o power', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'csx700 floating', 'csx700 floating point processor'], ['i/o power', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'putting'], ['i/o power', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'kept'], ['i/o power', 'address space', 'ground.', 'compute power'], ['i/o power', 'address space', 'backward compatibility'], ['i/o power', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'amount'], ['i/o power', 'address space', 'ground.', 'avddn'], ['i/o power', 'address space', 'ground.', 'pe contains:'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'csx700 floating point', 'processor', 'pe'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'bandwidth storage'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'processing multiple'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'csx700 floating point', 'csx700 floating', 'csx700 floating point processor'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'floating', 'blocking', 'put', 'putting'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'floating', 'blocking', 'put', 'kept'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'compute power'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'backward compatibility'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'floating', 'blocking', 'put', 'amount'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'avddn'], ['based', 'product', 'developed', 'second', 'issues', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'pe contains:'], ['pe', 'processor', 'multiple-data', 'address space', 'bandwidth storage'], ['pe', 'processor', 'multiple-data', 'address space', 'processing multiple'], ['pe', 'processor', 'csx700 floating point', 'csx700 floating', 'csx700 floating point processor'], ['pe', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'putting'], ['pe', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'kept'], ['pe', 'processor', 'multiple-data', 'address space', 'ground.', 'compute power'], ['pe', 'processor', 'multiple-data', 'address space', 'backward compatibility'], ['pe', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'amount'], ['pe', 'processor', 'multiple-data', 'address space', 'ground.', 'avddn'], ['pe', 'processor', 'multiple-data', 'address space', 'ground.', 'pe contains:'], ['bandwidth storage', 'address space', 'processing multiple'], ['bandwidth storage', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'csx700 floating', 'csx700 floating point processor'], ['bandwidth storage', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'putting'], ['bandwidth storage', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'kept'], ['bandwidth storage', 'address space', 'ground.', 'compute power'], ['bandwidth storage', 'address space', 'backward compatibility'], ['bandwidth storage', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'amount'], ['bandwidth storage', 'address space', 'ground.', 'avddn'], ['bandwidth storage', 'address space', 'ground.', 'pe contains:'], ['processing multiple', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'csx700 floating', 'csx700 floating point processor'], ['processing multiple', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'putting'], ['processing multiple', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'kept'], ['processing multiple', 'address space', 'ground.', 'compute power'], ['processing multiple', 'address space', 'backward compatibility'], ['processing multiple', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'amount'], ['processing multiple', 'address space', 'ground.', 'avddn'], ['processing multiple', 'address space', 'ground.', 'pe contains:'], ['csx700 floating point processor', 'csx700 floating', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'putting'], ['csx700 floating point processor', 'csx700 floating', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'kept'], ['csx700 floating point processor', 'csx700 floating', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'compute power'], ['csx700 floating point processor', 'csx700 floating', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'backward compatibility'], ['csx700 floating point processor', 'csx700 floating', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'amount'], ['csx700 floating point processor', 'csx700 floating', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'avddn'], ['csx700 floating point processor', 'csx700 floating', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'pe contains:'], ['putting', 'put', 'kept'], ['putting', 'put', 'blocking', 'floating', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'compute power'], ['putting', 'put', 'blocking', 'floating', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'backward compatibility'], ['putting', 'put', 'amount'], ['putting', 'put', 'blocking', 'floating', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'avddn'], ['putting', 'put', 'blocking', 'floating', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'pe contains:'], ['kept', 'put', 'blocking', 'floating', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'compute power'], ['kept', 'put', 'blocking', 'floating', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'backward compatibility'], ['kept', 'put', 'amount'], ['kept', 'put', 'blocking', 'floating', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'avddn'], ['kept', 'put', 'blocking', 'floating', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'pe contains:'], ['compute power', 'ground.', 'address space', 'backward compatibility'], ['compute power', 'ground.', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'amount'], ['compute power', 'ground.', 'avddn'], ['compute power', 'ground.', 'pe contains:'], ['backward compatibility', 'address space', 'multiple-data', 'processor', 'csx700 floating point', 'point', 'floating', 'blocking', 'put', 'amount'], ['backward compatibility', 'address space', 'ground.', 'avddn'], ['backward compatibility', 'address space', 'ground.', 'pe contains:'], ['amount', 'put', 'blocking', 'floating', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'avddn'], ['amount', 'put', 'blocking', 'floating', 'point', 'csx700 floating point', 'processor', 'multiple-data', 'address space', 'ground.', 'pe contains:'], ['avddn', 'ground.', 'pe contains:']]"
"('host system', 'csx700 device', 'processor debug', 'perform synchronization', 'synchronization events,', 'debug', 'multiplication ratio', 'multi-drop')","[['csx700 device', 'host system', 'debug', 'processor debug'], ['csx700 device', 'host system', 'debug', 'perform synchronization'], ['csx700 device', 'host system', 'debug', 'synchronization events,'], ['csx700 device', 'host system', 'debug', 'multiplication ratio'], ['csx700 device', 'host system', 'debug', 'multi-drop'], ['processor debug', 'debug', 'perform synchronization'], ['processor debug', 'debug', 'synchronization events,'], ['processor debug', 'debug', 'multiplication ratio'], ['processor debug', 'debug', 'multi-drop'], ['perform synchronization', 'debug', 'synchronization events,'], ['perform synchronization', 'debug', 'multiplication ratio'], ['perform synchronization', 'debug', 'multi-drop'], ['synchronization events,', 'debug', 'multiplication ratio'], ['synchronization events,', 'debug', 'multi-drop'], ['multiplication ratio', 'debug', 'multi-drop']]"
"('pcie bar apertures,', 'using', 'capable', 'links', 'certain')","[['pcie bar apertures,', 'using', 'capable'], ['pcie bar apertures,', 'using', 'links'], ['pcie bar apertures,', 'using', 'certain'], ['capable', 'using', 'links'], ['capable', 'using', 'certain'], ['links', 'using', 'certain']]"
"('model', 'contains', 'compute', 'embedded', 'backward')","[['contains', 'model', 'compute'], ['contains', 'model', 'embedded'], ['contains', 'model', 'backward'], ['compute', 'model', 'embedded'], ['compute', 'model', 'backward'], ['embedded', 'model', 'backward']]"
"('dram interfaces,', 'interface', '16')","[['dram interfaces,', 'interface', '16']]"
"('many', 'clock signal', 'order')","[['many', 'clock signal', 'order']]"
"('used', 'placed', 'series', 'signal', 'weak', 'rest', 'mark', 'sources', 'limit', 'hence', 'close', 'away', 'decoupled')","[['placed', 'used', 'series'], ['placed', 'used', 'hence', 'signal', 'rest'], ['placed', 'used', 'hence', 'mark'], ['placed', 'used', 'hence', 'decoupled', 'sources'], ['placed', 'used', 'hence', 'weak', 'away', 'limit'], ['placed', 'used', 'close'], ['series', 'used', 'hence', 'signal', 'rest'], ['series', 'used', 'hence', 'mark'], ['series', 'used', 'hence', 'decoupled', 'sources'], ['series', 'used', 'hence', 'weak', 'away', 'limit'], ['series', 'used', 'close'], ['rest', 'signal', 'hence', 'mark'], ['rest', 'signal', 'hence', 'decoupled', 'sources'], ['rest', 'signal', 'hence', 'weak', 'away', 'limit'], ['rest', 'signal', 'hence', 'used', 'close'], ['mark', 'hence', 'decoupled', 'sources'], ['mark', 'hence', 'weak', 'away', 'limit'], ['mark', 'hence', 'used', 'close'], ['sources', 'decoupled', 'hence', 'weak', 'away', 'limit'], ['sources', 'decoupled', 'hence', 'used', 'close'], ['limit', 'away', 'weak', 'hence', 'used', 'close']]"
"('tables', 'extended', 'give', 'slow', 'see', 'edge', 'loads')","[['extended', 'see', 'give'], ['extended', 'see', 'tables', 'slow'], ['extended', 'see', 'edge'], ['extended', 'see', 'loads'], ['give', 'see', 'tables', 'slow'], ['give', 'see', 'edge'], ['give', 'see', 'loads'], ['slow', 'tables', 'see', 'edge'], ['slow', 'tables', 'see', 'loads'], ['edge', 'see', 'loads']]"
"('environments.', 'registers.', 'hardware.', 'synchronization', 'master interface,', 'semaphore', 'slave interface,')","[['environments.', 'slave interface,', 'hardware.', 'master interface,', 'registers.'], ['environments.', 'slave interface,', 'hardware.', 'synchronization'], ['environments.', 'slave interface,', 'hardware.', 'semaphore'], ['registers.', 'master interface,', 'hardware.', 'synchronization'], ['registers.', 'master interface,', 'hardware.', 'semaphore'], ['synchronization', 'hardware.', 'semaphore']]"
"('request.', 'eight', 'downstream', 'collection', 'upstream')","[['request.', 'eight', 'downstream'], ['request.', 'eight', 'collection'], ['request.', 'eight', 'upstream'], ['downstream', 'eight', 'collection'], ['downstream', 'eight', 'upstream'], ['collection', 'eight', 'upstream']]"
"('2.1.4',)",[['2.1.4']]
"('die', 'integrated', 'accessed')","[['integrated', 'die', 'accessed']]"
"('external memory', 'duplex', 'correction', 'duplex port', 'minimize', 'error', 'pin count', 'reset control')","[['external memory', 'correction', 'duplex'], ['external memory', 'correction', 'duplex port'], ['external memory', 'correction', 'reset control', 'minimize'], ['external memory', 'correction', 'reset control', 'error'], ['external memory', 'correction', 'pin count'], ['duplex', 'correction', 'duplex port'], ['duplex', 'correction', 'reset control', 'minimize'], ['duplex', 'correction', 'reset control', 'error'], ['duplex', 'correction', 'pin count'], ['duplex port', 'correction', 'reset control', 'minimize'], ['duplex port', 'correction', 'reset control', 'error'], ['duplex port', 'correction', 'pin count'], ['minimize', 'reset control', 'error'], ['minimize', 'reset control', 'correction', 'pin count'], ['error', 'reset control', 'correction', 'pin count']]"
"('birq_n pin', 'birq_n', 'ccbr', 'ctap')","[['birq_n pin', 'birq_n', 'ctap', 'ccbr']]"
"('minimum length', 'instruction fetch', 'tolerate', 'tolerant.', 'well.', 'strobe', 'units.')","[['minimum length', 'units.', 'instruction fetch', 'tolerate'], ['minimum length', 'units.', 'instruction fetch', 'tolerant.'], ['minimum length', 'units.', 'well.'], ['minimum length', 'units.', 'strobe'], ['tolerate', 'instruction fetch', 'tolerant.'], ['tolerate', 'instruction fetch', 'units.', 'well.'], ['tolerate', 'instruction fetch', 'units.', 'strobe'], ['tolerant.', 'instruction fetch', 'units.', 'well.'], ['tolerant.', 'instruction fetch', 'units.', 'strobe'], ['well.', 'units.', 'strobe']]"
"('rate interface', 'control register')","[['rate interface', 'control register']]"
"('low-latency', 'ddr2-533', 'lvttl.')","[['ddr2-533', 'low-latency', 'lvttl.']]"
"('core clock,', 'input reference', 'i/o pads,', 'main core', 'reset whenever', 'ctap configuration', 'pll config', 'entire device', 'pcie plls')","[['core clock,', 'pcie plls', 'input reference'], ['core clock,', 'pcie plls', 'i/o pads,'], ['core clock,', 'pcie plls', 'reset whenever'], ['core clock,', 'pcie plls', 'main core', 'ctap configuration'], ['core clock,', 'pcie plls', 'pll config'], ['core clock,', 'pcie plls', 'entire device'], ['input reference', 'pcie plls', 'i/o pads,'], ['input reference', 'pcie plls', 'reset whenever'], ['input reference', 'pcie plls', 'main core', 'ctap configuration'], ['input reference', 'pcie plls', 'pll config'], ['input reference', 'pcie plls', 'entire device'], ['i/o pads,', 'pcie plls', 'reset whenever'], ['i/o pads,', 'pcie plls', 'main core', 'ctap configuration'], ['i/o pads,', 'pcie plls', 'pll config'], ['i/o pads,', 'pcie plls', 'entire device'], ['reset whenever', 'pcie plls', 'main core', 'ctap configuration'], ['reset whenever', 'pcie plls', 'pll config'], ['reset whenever', 'pcie plls', 'entire device'], ['ctap configuration', 'main core', 'pcie plls', 'pll config'], ['ctap configuration', 'main core', 'pcie plls', 'entire device'], ['pll config', 'pcie plls', 'entire device']]"
"('functions', 'apertures', 'negotiating')","[['apertures', 'functions', 'negotiating']]"
"('ac',)",[['ac']]
"('1.1.4',)",[['1.1.4']]
"('voltages', 'reference clock', '3.4', 'hclk', 'termination', 'voltage reference', 'vref')","[['voltages', 'termination', 'voltage reference', 'hclk', 'reference clock'], ['voltages', 'termination', '3.4'], ['voltages', 'termination', 'vref'], ['reference clock', 'hclk', 'voltage reference', 'termination', '3.4'], ['reference clock', 'hclk', 'voltage reference', 'termination', 'vref'], ['3.4', 'termination', 'vref']]"
"('errors', 'functional', 'accesses', 'indicated')","[['errors', 'accesses', 'functional'], ['errors', 'accesses', 'indicated'], ['functional', 'accesses', 'indicated']]"
"('layer', 'controlled', 'trap')","[['layer', 'controlled', 'trap']]"
"('in-circuit', 'figure8')","[['in-circuit', 'figure8']]"
"('simultaneously', 'respectively', 'since', 'simulation', 'disabled', 'common')","[['simultaneously', 'common', 'since'], ['simultaneously', 'common', 'simulation', 'respectively', 'disabled'], ['since', 'common', 'simulation', 'respectively', 'disabled']]"
"('available', '20', '50')","[['available', '50', '20']]"
"('whose', 'carry', 'transmit', 'clocks', 'mode', 'receiver', 'units', 'asynchronously', 'switching')","[['carry', 'units', 'clocks'], ['carry', 'units', 'transmit', 'mode'], ['carry', 'units', 'whose', 'receiver'], ['carry', 'units', 'asynchronously'], ['carry', 'units', 'transmit', 'switching'], ['clocks', 'units', 'transmit', 'mode'], ['clocks', 'units', 'whose', 'receiver'], ['clocks', 'units', 'asynchronously'], ['clocks', 'units', 'transmit', 'switching'], ['mode', 'transmit', 'units', 'whose', 'receiver'], ['mode', 'transmit', 'units', 'asynchronously'], ['mode', 'transmit', 'switching'], ['receiver', 'whose', 'units', 'asynchronously'], ['receiver', 'whose', 'units', 'transmit', 'switching'], ['asynchronously', 'units', 'transmit', 'switching']]"
"('computing',)",[['computing']]
"('express',)",[['express']]
"('elements', 'windows', 'exceptionally', 'solution', 'acrobat elements', '7.0', 'provides', 'acrobat')","[['windows', '7.0', 'elements', 'exceptionally'], ['windows', '7.0', 'elements', 'provides', 'solution'], ['windows', '7.0', 'acrobat', 'acrobat elements'], ['exceptionally', 'elements', 'provides', 'solution'], ['exceptionally', 'elements', '7.0', 'acrobat', 'acrobat elements'], ['solution', 'provides', 'elements', '7.0', 'acrobat', 'acrobat elements']]"
"('conform', 'standard.', 'nine')","[['standard.', 'conform', 'nine']]"
"('making', 'powerful', 'ideally')","[['making', 'powerful', 'ideally']]"
"('refer', 'matched')","[['refer', 'matched']]"
"('dma operation', 'csx700 die', 'dma engine', 'national instruments', 'parallel')","[['dma operation', 'national instruments', 'dma engine'], ['dma operation', 'national instruments', 'csx700 die', 'parallel'], ['dma engine', 'national instruments', 'csx700 die', 'parallel']]"
"('comprises', 'ddr2 dram interfaces,', 'subsystems', 'onto')","[['comprises', 'ddr2 dram interfaces,', 'subsystems'], ['comprises', 'ddr2 dram interfaces,', 'onto'], ['subsystems', 'ddr2 dram interfaces,', 'onto']]"
"('accessible', 'negotiation', 'rev', 'bar', 'clocked.')","[['negotiation', 'accessible', 'rev'], ['negotiation', 'accessible', 'bar'], ['negotiation', 'accessible', 'clocked.'], ['rev', 'accessible', 'bar'], ['rev', 'accessible', 'clocked.'], ['bar', 'accessible', 'clocked.']]"
"('table14',)",[['table14']]
"('conforms', 'code', 'correcting', 'store')","[['conforms', 'correcting', 'store', 'code']]"
