"('clk_i signal,',)","[['clk_i signal,']]"
"('real', 'bearing', 'pattern', 'illustrated', 'ones', 'represented')","[['real', 'ones', 'illustrated', 'bearing', 'represented', 'pattern']]"
"('round_down',)",[['round_down']]
"('int',)",[['int']]
"('one', 'frequencies', 'keep', 'cycles', 'clock')","[['one', 'frequencies', 'cycles', 'keep'], ['one', 'frequencies', 'clock'], ['keep', 'cycles', 'frequencies', 'clock']]"
"('integer result address ftoi',)",[['integer result address ftoi']]
"('nan',)",[['nan']]
"('subsequent normalization',)",[['subsequent normalization']]
"('maximum', '254')","[['maximum', '254']]"
"('io_adr_o',)",[['io_adr_o']]
"('subsequent', 'normalization')","[['subsequent', 'normalization']]"
"('dual operand loading',)",[['dual operand loading']]
"('adr_i',)",[['adr_i']]
"('spartan', 'underflow', 'numbers', 'reasonable', 'instead', 'overflow detection')","[['spartan', 'instead', 'reasonable'], ['spartan', 'instead', 'numbers', 'underflow', 'overflow detection'], ['reasonable', 'instead', 'numbers', 'underflow', 'overflow detection']]"
"('overflows', 'returned')","[['overflows', 'returned']]"
"('thus', '135')","[['thus', '135']]"
"('significand precision', 'hidden', 'implicit')","[['hidden', 'significand precision', 'implicit']]"
"('spartan virtex-ii', 'subtraction process')","[['spartan virtex-ii', 'subtraction process']]"
"('materials', 'software')","[['materials', 'software']]"
"('high', 'requested', 'process', 'current', 'wishbone device acknowledgement', 'goes', 'standard wishbone device', 'addition process', 'cycle')","[['requested', 'goes', 'high', 'cycle', 'process'], ['requested', 'goes', 'current', 'wishbone device acknowledgement'], ['requested', 'goes', 'current', 'standard wishbone device'], ['requested', 'goes', 'high', 'cycle', 'addition process'], ['process', 'cycle', 'high', 'goes', 'current', 'wishbone device acknowledgement'], ['process', 'cycle', 'high', 'goes', 'current', 'standard wishbone device'], ['process', 'cycle', 'addition process'], ['wishbone device acknowledgement', 'current', 'standard wishbone device'], ['wishbone device acknowledgement', 'current', 'goes', 'high', 'cycle', 'addition process'], ['standard wishbone device', 'current', 'goes', 'high', 'cycle', 'addition process']]"
"('gets', '10000111')","[['gets', '10000111']]"
"('may', 'summer', 'updated', '08')","[['may', 'updated', 'summer'], ['may', 'updated', '08'], ['summer', 'updated', '08']]"
"('typed', 'internally', 'splits')","[['internally', 'typed', 'splits']]"
"('provide', 'identifier', 'code', 'supported', 'assumes')","[['provide', 'code', 'assumes', 'supported', 'identifier']]"
"('control', 'arising', 'operation', 'type', 'undefined')","[['control', 'type', 'arising', 'undefined', 'operation']]"
"('integer result', 'integer result address')","[['integer result', 'integer result address']]"
"('32',)",[['32']]
"('accordance', 'handshaking', 'internal', 'internal register accessed:', 'read operation,', 'occurs')","[['accordance', 'read operation,', 'handshaking', 'internal', 'internal register accessed:'], ['accordance', 'read operation,', 'handshaking', 'internal', 'occurs'], ['internal register accessed:', 'internal', 'occurs']]"
"('wb_fpu base', 'register address', 'wb_fpu base address', 'wb_fpu base address +')","[['register address', 'wb_fpu base', 'wb_fpu base address'], ['register address', 'wb_fpu base', 'wb_fpu base address +'], ['wb_fpu base address', 'wb_fpu base', 'wb_fpu base address +']]"
"('make',)",[['make']]
"('indicates', 'asserted', 'data', 'level')","[['asserted', 'indicates', 'data', 'level']]"
"('bit', 'register bit')","[['bit', 'register bit']]"
"('small', 'results')","[['small', 'results']]"
"('transfer cycle', 'strobe signal')","[['transfer cycle', 'strobe signal']]"
"('""fpu""', 'slave interface', 'wb_intercon', 'interconnect device')","[['slave interface', '""fpu""', 'interconnect device', 'wb_intercon']]"
"('majority', 'radix', 'expression')","[['majority', 'radix', 'expression']]"
"('ack_o', 'dat_o', 'stb_i', 'ack_o signal')","[['ack_o', 'dat_o', 'stb_i', 'ack_o signal']]"
"('100010100', 'giving', 'us')","[['giving', '100010100', 'us']]"
"('conversion', 'operand value,')","[['conversion', 'operand value,']]"
"('busy register,', 'state')","[['busy register,', 'state']]"
"('clearing', 'initialization', 'soon')","[['initialization', 'clearing', 'soon']]"
"('denormalization unit',)",[['denormalization unit']]
"('no.', 'version')","[['no.', 'version']]"
"('valid', 'asserts')","[['valid', 'asserts']]"
"('containing',)",[['containing']]
"('leads', 'supports')","[['leads', 'supports']]"
"('properly', 'includes')","[['properly', 'includes']]"
"('remember',)",[['remember']]
"('negative', 'ffh')","[['negative', 'ffh']]"
"('op12',)",[['op12']]
"('wb_fpu symbol',)",[['wb_fpu symbol']]
"('flag', 'edge', 'conversion unit', 'assertion')","[['flag', 'conversion unit', 'edge'], ['flag', 'conversion unit', 'assertion'], ['edge', 'conversion unit', 'assertion']]"
"('obtained', 'featuring', 'added', 'subtracted', 'reading')","[['featuring', 'obtained', 'added']]"
"('logos', 'modifications', 'registered', 'without', 'including', 'electronic')","[['modifications', 'registered', 'without'], ['modifications', 'registered', 'logos', 'including'], ['modifications', 'registered', 'logos', 'electronic'], ['without', 'registered', 'logos', 'including'], ['without', 'registered', 'logos', 'electronic'], ['including', 'logos', 'electronic']]"
"('legal', '127')","[['legal', '127']]"
"('word', 'algorithm', 'overview', 'operators', 'operational', 'therefore', 'bus width')","[['word', 'bus width', 'therefore', 'operators', 'algorithm'], ['word', 'bus width', 'therefore', 'operators', 'operational', 'overview'], ['algorithm', 'operators', 'operational', 'overview']]"
"('input number', 'zero bit')","[['input number', 'zero bit']]"
"('wishbone interface',)",[['wishbone interface']]
"('opb address,',)","[['opb address,']]"
"('assert', 'reacts')","[['assert', 'reacts']]"
"('ieee',)",[['ieee']]
"('constitute', 'detail')","[['constitute', 'detail']]"
"('special',)",[['special']]
"('specified',)",[['specified']]
"('terminated', '-126', 'slave', 'exponent', '-126 which,', 'bias', 'base system', 'finished', 'base', 'action', 'execution', 'minexp')","[['-126', 'minexp', 'bias', '-126 which,'], ['-126', 'minexp', 'exponent', 'base', 'base system'], ['-126', 'minexp', 'exponent', 'base', 'slave', 'terminated', 'finished'], ['-126', 'minexp', 'exponent', 'base', 'slave', 'terminated', 'action'], ['-126', 'minexp', 'exponent', 'base', 'slave', 'terminated', 'execution'], ['-126 which,', 'bias', 'minexp', 'exponent', 'base', 'base system'], ['-126 which,', 'bias', 'minexp', 'exponent', 'base', 'slave', 'terminated', 'finished'], ['-126 which,', 'bias', 'minexp', 'exponent', 'base', 'slave', 'terminated', 'action'], ['-126 which,', 'bias', 'minexp', 'exponent', 'base', 'slave', 'terminated', 'execution'], ['base system', 'base', 'slave', 'terminated', 'finished'], ['base system', 'base', 'slave', 'terminated', 'action'], ['base system', 'base', 'slave', 'terminated', 'execution'], ['finished', 'terminated', 'action'], ['finished', 'terminated', 'execution'], ['action', 'terminated', 'execution']]"
"('wb_fpu block diagram', 'wb_fpu block', 'diagram', 'particular', 'loaded', 'block diagram', 'block')","[['wb_fpu block diagram', 'wb_fpu block', 'block diagram', 'diagram', 'loaded', 'block', 'particular']]"
"('previously', 'easy')","[['previously', 'easy']]"
"('point',)",[['point']]
"('simply',)",[['simply']]
"('therein', 'example code', 'consider', 'configuring', 'order', 'calculations', '276', 'interface therein', 'example', 'simple example')","[['configuring', 'calculations', 'therein', 'example code', 'example', 'order', 'consider', 'simple example', '276'], ['configuring', 'calculations', 'therein', 'example code', 'interface therein'], ['276', 'simple example', 'consider', 'order', 'example', 'example code', 'interface therein']]"
"('controller', 'controller communications')","[['controller', 'controller communications']]"
"('io_adr_o line', 'ff10_0000h')","[['io_adr_o line', 'ff10_0000h']]"
"('fully',)",[['fully']]
"('become',)",[['become']]
"('operand', 'addition', 'operand b')","[['operand', 'addition', 'operand b']]"
"('multiplies',)",[['multiplies']]
"('slower', 'determines', 'per', 'successive')","[['per', 'determines', 'slower', 'successive']]"
"('term', 'fit')","[['term', 'fit']]"
"('constructing',)",[['constructing']]
"('appearing', 'latching', 'rising')","[['appearing', 'rising', 'latching']]"
"('summarized',)",[['summarized']]
"('sign bit',)",[['sign bit']]
"('addresses', 'master', 'mode', 'mapped')","[['addresses', 'mapped', 'master'], ['addresses', 'mapped', 'mode'], ['master', 'mapped', 'mode']]"
"('coding', 'amended', 'entries')","[['coding', 'amended', 'entries']]"
"('infinity bit', 'set', 'input number,')","[['infinity bit', 'set', 'input number,']]"
"('interfacing',)",[['interfacing']]
"('access',)",[['access']]
"('feeding',)",[['feeding']]
"('slave device', 'ensure')","[['slave device', 'ensure']]"
"('involution',)",[['involution']]
"('underflows', 'resulting')","[['underflows', 'resulting']]"
"('end',)",[['end']]
"('units', 'division', 'acknowledge', 'cause', 'received')","[['acknowledge', 'cause', 'units', 'received']]"
"('limited', 'designer', 'dxp', 'altium', 'nanoboard', 'simcode', 'livedesign', 'nanotalk', 'duplication')","[['designer', 'limited', 'dxp'], ['designer', 'limited', 'duplication', 'altium'], ['designer', 'limited', 'nanoboard'], ['designer', 'limited', 'simcode'], ['designer', 'limited', 'livedesign'], ['designer', 'limited', 'nanotalk'], ['dxp', 'limited', 'duplication', 'altium'], ['dxp', 'limited', 'nanoboard'], ['dxp', 'limited', 'simcode'], ['dxp', 'limited', 'livedesign'], ['dxp', 'limited', 'nanotalk'], ['altium', 'duplication', 'limited', 'nanoboard'], ['altium', 'duplication', 'limited', 'simcode'], ['altium', 'duplication', 'limited', 'livedesign'], ['altium', 'duplication', 'limited', 'nanotalk'], ['nanoboard', 'limited', 'simcode'], ['nanoboard', 'limited', 'livedesign'], ['nanoboard', 'limited', 'nanotalk'], ['simcode', 'limited', 'livedesign'], ['simcode', 'limited', 'nanotalk'], ['livedesign', 'limited', 'nanotalk']]"
"('io_cyc_o', 'io_dat_i', 'io_ack_i', 'clk_i', 'io_stb_o')","[['io_dat_i', 'io_cyc_o', 'io_ack_i'], ['io_dat_i', 'io_cyc_o', 'clk_i', 'io_stb_o'], ['io_ack_i', 'io_cyc_o', 'clk_i', 'io_stb_o']]"
"('time', 'select', 'send', 'writing')","[['time', 'writing', 'select'], ['time', 'writing', 'send'], ['select', 'writing', 'send']]"
"('bias value',)",[['bias value']]
"('symbol',)",[['symbol']]
"('rounding',)",[['rounding']]
"('name',)",[['name']]
"('always',)",[['always']]
"('significand lsb,', 'corresponding', 'signal', 'constructs', 'number', 'effect', 'construction', 'nan not', 'bits')","[['significand lsb,', 'number', 'signal', 'bits', 'corresponding', 'constructs'], ['significand lsb,', 'number', 'signal', 'bits', 'effect'], ['significand lsb,', 'number', 'signal', 'construction'], ['significand lsb,', 'number', 'nan not'], ['constructs', 'corresponding', 'bits', 'effect'], ['constructs', 'corresponding', 'bits', 'signal', 'construction'], ['constructs', 'corresponding', 'bits', 'signal', 'number', 'nan not'], ['effect', 'bits', 'signal', 'construction'], ['effect', 'bits', 'signal', 'number', 'nan not'], ['construction', 'signal', 'number', 'nan not']]"
"('result address',)",[['result address']]
"('bus', 'address bus,', 'polarity/', 'size')","[['address bus,', 'bus', 'polarity/'], ['address bus,', 'bus', 'size'], ['polarity/', 'bus', 'size']]"
"('binary', 'representation', 'sign')","[['binary', 'representation', 'sign']]"
"('aid',)",[['aid']]
"('documentation', 'related')","[['documentation', 'related']]"
"('-num -infinity',)",[['-num -infinity']]
"('revision history', 'revision', 'history')","[['revision history', 'revision', 'history']]"
"('operand b address', 'opb')","[['operand b address', 'opb']]"
"('division unit',)",[['division unit']]
"('represents', 'points', 'important')","[['points', 'represents', 'important']]"
"('values', 'rounded', 'method', 'c programming')","[['values', 'rounded', 'method', 'c programming']]"
"('register accessed:',)",[['register accessed:']]
"('exponents', 'involves', 'care')","[['exponents', 'involves', 'care']]"
"('24th', 'compensate', 'right')","[['compensate', '24th', 'right']]"
"('result address mul',)",[['result address mul']]
"('guard bit',)",[['guard bit']]
"('communication', 'peripheral', 'bus interface', 'wishbone bus')","[['communication', 'peripheral', 'bus interface'], ['communication', 'peripheral', 'wishbone bus'], ['bus interface', 'peripheral', 'wishbone bus']]"
"('divides',)",[['divides']]
"('clock signal', 'system', 'external')","[['clock signal', 'system', 'external']]"
"('following', 'methods')","[['following', 'methods']]"
"('shifted', 'becomes')","[['shifted', 'becomes']]"
"('represent', 'bit pattern')","[['represent', 'bit pattern']]"
"('categories',)",[['categories']]
"('equivalent',)",[['equivalent']]
"('reset',)",[['reset']]
"('precision floats,', 'exponent values,', 'positive', 'value', 'stored', 'arrive', 'floats')","[['exponent values,', 'positive', 'precision floats,', 'value'], ['exponent values,', 'positive', 'stored', 'arrive'], ['exponent values,', 'positive', 'stored', 'floats'], ['value', 'precision floats,', 'positive', 'stored', 'arrive'], ['value', 'precision floats,', 'positive', 'stored', 'floats'], ['arrive', 'stored', 'floats']]"
"('2-126',)",[['2-126']]
"('low', 'input', 'exception', 'input sign', 'obtain')","[['low', 'exception', 'input', 'input sign'], ['low', 'exception', 'input', 'obtain'], ['input sign', 'input', 'obtain']]"
"('adding', 'adjusting')","[['adding', 'adjusting']]"
"('transmit', 'receives')","[['transmit', 'receives']]"
"('position', 'shifting', 'bit position')","[['shifting', 'position', 'bit position']]"
"('loading', 'dual operand', 'cheap', 'effectively', 'single', 'square', 'dual', 'quick', 'operand loading')","[['dual operand', 'dual', 'loading', 'cheap'], ['dual operand', 'dual', 'loading', 'effectively'], ['dual operand', 'dual', 'loading', 'single'], ['dual operand', 'dual', 'loading', 'square'], ['dual operand', 'dual', 'loading', 'quick'], ['dual operand', 'dual', 'operand loading'], ['cheap', 'loading', 'effectively'], ['cheap', 'loading', 'single'], ['cheap', 'loading', 'square'], ['cheap', 'loading', 'quick'], ['cheap', 'loading', 'dual', 'operand loading'], ['effectively', 'loading', 'single'], ['effectively', 'loading', 'square'], ['effectively', 'loading', 'quick'], ['effectively', 'loading', 'dual', 'operand loading'], ['single', 'loading', 'square'], ['single', 'loading', 'quick'], ['single', 'loading', 'dual', 'operand loading'], ['square', 'loading', 'quick'], ['square', 'loading', 'dual', 'operand loading'], ['quick', 'loading', 'dual', 'operand loading']]"
"('light form', 'takes', 'perform', 'light', 'purposes', 'information bits:')","[['light form', 'purposes', 'light', 'takes', 'perform'], ['light form', 'purposes', 'information bits:'], ['perform', 'takes', 'light', 'purposes', 'information bits:']]"
"('operand address', 'unit')","[['operand address', 'unit']]"
"('2008', 'copyright')","[['2008', 'copyright']]"
"('provided', 'simultaneously', 'respectively', 'section', 'able', 'two', 'see', 'included')","[['simultaneously', 'section', 'provided', 'respectively', 'two', 'able'], ['simultaneously', 'section', 'provided', 'see'], ['simultaneously', 'section', 'provided', 'respectively', 'two', 'included'], ['able', 'two', 'respectively', 'provided', 'see'], ['able', 'two', 'included'], ['see', 'provided', 'respectively', 'two', 'included']]"
"('encoded', 'biased', 'minimum', 'give')","[['biased', 'encoded', 'give', 'minimum']]"
"('complete',)",[['complete']]
