"('ip', 'ip core:')","[['ip', 'ip core:']]"
"('hdl source', 'vhdl', 'rtl', 'modelsim', 'macros', 'verilog', 'bench environment')","[['vhdl', 'hdl source', 'modelsim'], ['vhdl', 'hdl source', 'rtl', 'macros', 'verilog', 'bench environment'], ['modelsim', 'hdl source', 'rtl', 'macros', 'verilog', 'bench environment']]"
"('function', 'makes', 'settings')","[['makes', 'function', 'settings']]"
"('control', 'given', 'processing', 'data')","[['control', 'data', 'given'], ['control', 'data', 'processing'], ['given', 'data', 'processing']]"
"('vhdl source code', 'vhdl source code or/and')","[['vhdl source code', 'vhdl source code or/and']]"
"('headquarters',)",[['headquarters']]
"('bus', 'data bus', 'ufo')","[['bus', 'data bus', 'ufo']]"
"('core updates,', 'updates', 'minor')","[['core updates,', 'minor', 'updates']]"
"('divider', 'dfpdiv-')","[['divider', 'dfpdiv-']]"
"('product', 'branches', 'manufactured', 'unlimited', 'sites', 'licensed', 'running', 'corporate')","[['branches', 'unlimited', 'product', 'manufactured', 'sites'], ['branches', 'unlimited', 'product', 'manufactured', 'licensed'], ['branches', 'unlimited', 'running'], ['branches', 'unlimited', 'corporate'], ['sites', 'manufactured', 'licensed'], ['sites', 'manufactured', 'product', 'unlimited', 'running'], ['sites', 'manufactured', 'product', 'unlimited', 'corporate'], ['licensed', 'manufactured', 'product', 'unlimited', 'running'], ['licensed', 'manufactured', 'product', 'unlimited', 'corporate'], ['running', 'unlimited', 'corporate']]"
"('core area',)",[['core area']]
"('digital core', 'contact')","[['digital core', 'contact']]"
"('reset', 'global')","[['reset', 'global']]"
"('-6', '86', '2040')","[['-6', '2040', '86']]"
"('type', 'clk')","[['type', 'clk']]"
"('one',)",[['one']]
"('82', 'tel', '48')","[['82', '48', 'tel']]"
"('tomasz', 'krzyzak', 'tomasz krzyzak')","[['krzyzak', 'tomasz', 'tomasz krzyzak']]"
"('pipeline', 'code', 'called', 'vhdl source', 'code or/and')","[['pipeline', 'vhdl source', 'code', 'called'], ['pipeline', 'vhdl source', 'code', 'code or/and'], ['called', 'code', 'code or/and']]"
"('notes', 'installation')","[['notes', 'installation']]"
"('delivered', 'formats')","[['delivered', 'formats']]"
"('place', 'route', 'survey')","[['place', 'survey', 'route']]"
"('project', 'dedicated', 'business')","[['dedicated', 'project', 'business']]"
"('42', 'stratix', '2720')","[['42', '2720', 'stratix']]"
"('symbol',)",[['symbol']]
"('32', '66')","[['32', '66']]"
"('synthesis', 'scripts')","[['synthesis', 'scripts']]"
"('information', 'area', 'final', 'devices', 'gives')","[['information', 'gives', 'devices', 'area'], ['information', 'gives', 'final'], ['area', 'devices', 'gives', 'final']]"
"('single precision real', 'precision real')","[['single precision real', 'precision real']]"
"('fully', 'ncsim', 'automatic', 'simulation')","[['ncsim', 'fully', 'simulation', 'automatic']]"
"('overview',)",[['overview']]
"('methods', 'easy')","[['methods', 'easy']]"
"('rounding', 'setting')","[['rounding', 'setting']]"
"('datasheet',)",[['datasheet']]
"('74', '37')","[['74', '37']]"
"('test bench', 'result flag', 'invalid', 'result', 'operation', 'alignment')","[['test bench', 'operation', 'invalid', 'result', 'result flag'], ['test bench', 'operation', 'invalid', 'result', 'alignment'], ['result flag', 'result', 'alignment']]"
"('selected', 'several', 'free', 'time')","[['selected', 'time', 'several', 'free']]"
"('email support', 'phone', 'support', 'email')","[['email support', 'email', 'phone'], ['email support', 'email', 'support'], ['phone', 'email', 'support']]"
"('core design', 'distributors', 'digital')","[['core design', 'distributors', 'digital']]"
"('94',)",[['94']]
"('site license', 'single site license')","[['site license', 'single site license']]"
"('application', 'example application', 'example')","[['application', 'example application', 'example']]"
"('main fp', 'clock', 'levels', 'fp pipelined unit', 'pipelined', 'complex information', 'divide function', 'mathematics')","[['main fp', 'fp pipelined unit', 'divide function', 'pipelined', 'clock', 'mathematics', 'levels'], ['main fp', 'fp pipelined unit', 'divide function', 'pipelined', 'complex information'], ['levels', 'mathematics', 'clock', 'pipelined', 'complex information']]"
"('microsoft word', 'word', '2010', 'microsoft')","[['word', 'microsoft word', '2010'], ['word', 'microsoft word', 'microsoft'], ['2010', 'microsoft word', 'microsoft']]"
"('2.21',)",[['2.21']]
"('royalty-per-chip fees,', 'royalty-per-chip')","[['royalty-per-chip fees,', 'royalty-per-chip']]"
"('latency', 'divide', '21', 'complex', 'flags', 'clock cycle', 'accuracy')","[['21', 'latency', 'divide', 'flags', 'complex'], ['21', 'latency', 'divide', 'clock cycle', 'accuracy'], ['complex', 'flags', 'divide', 'clock cycle', 'accuracy']]"
"('included', 'standard')","[['included', 'standard']]"
"('ieee-754',)",[['ieee-754']]
"('cells', 'logic')","[['cells', 'logic']]"
"('device',)",[['device']]
"('mhz', 'apex20ke', '30', '3100')","[['mhz', 'apex20ke', '3100', '30']]"
"('106',)",[['106']]
"('grade', 'flex10ke', 'speed')","[['grade', 'speed', 'flex10ke']]"
"('checker', 'compliance')","[['checker', 'compliance']]"
"('-5', 'cyclone', '2780', '50')","[['-5', 'cyclone', '2780', '50']]"
